country,year,kaopen,CostBusiness,AverageTariff,TariffDispersion,RequiredReserve,NewRequiredReserve,FinalRequiredReserve,InterestRateLiberalization,TransactionTax,BankSupervision,EquityInflow,EquityOutflow,BondInflow,BondOutflow,MoneyMktInflow,MoneyMktOutflow,CollInvestInflow,CollInvestOutflow,DerivativesInflow,DerivativesOutflow,CreditOutflow,CreditInflow,FinancialCreditOutflow,FinancialCreditInflow,GuaranteesOutflow,GuaranteesInflow,DirectInvestOutflow,DirectInvestInflow,RealEstateOutflow,RealEstateInflow,VAT,PersonalIncomeTax,CorporateIncomeTax,IncomeProductivity,VATProductivity,Privatization1,Privatization2,FiringCost,NewFiringCost,HiringFlexibility,WorkingHoursFlexibility,SocialSecurityCost,MinimumWage,DualExchangeRate,NewMinimumWage
Argentina,2013,0,19.9,12.17,,,16.22333333,16.22333333,3,0.6,,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,21,35,35,,,,0.572204292,,2.225252408,2,1,35.5,,1,0.50115943
Argentina,2014,0,15.1,12.58,,,28.87958333,28.87958333,3,0.6,,1,0.5,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,21,35,35,,,,0.442398369,,2.225252408,2,1,,,1,0.492399871
Bolivia,1985,0,,20.02040816,17.363248,86.41221374,,86.41221374,3,0,0,,,,,,,,,,,,,,,,,,,,,10,30,30,0.007498153,0.033986894,0,,4.633022401,4.633022401,3,2,20.49999996,,,
Bolivia,1986,0.308597475, ,21.92234694,22.05,35.72778828,,35.72778828,3,0,0,,,,,,,,,,,,,,,,,,,,,10,30,0,0.011267289,0.020954261,0,,4.633022401,4.633022401,3,2,20.49999996,,,
Bolivia,1987,0.369199544,,20.02040816,22.05,14.73616474,,14.73616474,3,0,0,,,,,,,,,,,,,,,,,,,,,10,10,0,0.062553541,0.098451089,0,,4.633022401,4.633022401,3,2,20.49999996,,,
Bolivia,1988,0.59461087,,18.61897959,9.31,23.00242131,,23.00242131,3,0,0,,,,,,,,,,,,,,,,,,,,,10,10,0,0.125333835,0.175452843,0,,4.633022401,4.633022401,3,2,21.99999996,,,
Bolivia,1989,0.655212939,,17.01734694,9.31,32.73707144,,32.73707144,3,0,0,,,,,,,,,,,,,,,,,,,,,10,10,0,0.153559723,0.180456796,0,,4.633022401,4.633022401,3,2,21.99999996,,,
Bolivia,1990,0.551005781,,13.41367347,13.23,24.85831759,,24.85831759,3,0,0,,,,,,,,,,,,,,,,,,,,,10,10,0,0.159114864,0.150008523,0,,4.633022401,4.633022401,3,2,21.99999996,,,
Bolivia,1991,0.551005781,,10.01020408,5.39,22.11305549,,22.11305549,3,0,0,,,,,,,,,,,,,,,,,,,,,10,10,0,0.179891889,0.156653844,0.003743023,0.374302328,4.633022401,4.633022401,3,2,23.99999996,0.511989355,,0.511989355
Bolivia,1992,0.551005781,,9.81,4.9,16.60086058,,16.60086058,3,0,0,,,,,,,,,,,,,,,,,,,,,13,10,0,0.192175885,0.168623517,0.003743023,,4.633022401,4.633022401,3,2,23.99999996,0.512483597,,0.512483597
Bolivia,1993,0.551005781,,9.81,0.98,17.8107714,,17.8107714,3,0,1,,,,,,,,,,,,,,,,,,,,,13,13,0,0.180853341,0.175854664,0.003743023,,4.633022401,4.633022401,3,2,23.99999996,0.559488356,,0.559488356
Bolivia,1994,0.551005781,,9.99,0.23,11.76275232,,11.76275232,3,0,1,,,,,,,,,,,,,,,,,,,,,13,13,0,0.171311324,0.210996513,0.003743023,,4.633022401,4.633022401,3,2,23.99999996,0.60271436,,0.60271436
Bolivia,1995,0.551005781,,9.74,1.14,13.05115115,,13.05115115,3,0,1,0,0,,,0,0,0,0,,,,1,0,1,,,0,0,0,,13,13,25,0.058139137,0.185970856,0.044091124,4.026673317,4.633022401,4.633022401,3,2,23.99999996,0.569998503,,0.569998503
Bolivia,1996,0.467819631,,9.72,1.24,17.7589704,,17.7589704,3,0,1,0,0,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,13,25,0.095643918,0.223692828,0.080852507,3.665015936,4.633022401,4.633022401,3,2,24.99999993,0.544100583,,0.544100583
Bolivia,1997,0.752004623,,9.72,1.24,18.92410576,,18.92410576,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,13,25,0.104471358,0.216549325,0.169041537,8.305919647,4.633022401,4.633022401,3,2,23.49999993,0.53995055,,0.53995055
Bolivia,1998,0.752004623,,9.72,1.25,6.610022251,,6.610022251,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,13,25,0.105076647,0.216568723,0.449614191,28.13282776,4.633022401,4.633022401,3,2,23.49999993,0.61275357,,0.61275357
Bolivia,1999,0.752004623,,9.72,1.24,6.605646512,,6.605646512,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,13,25,0.112600228,0.196878722,0.512968475,6.345144272,4.633022401,4.633022401,3,2,23.49999993,0.66834867,0,0.66834867
Bolivia,2000,0.752004623,,9.32,2.58,8.063968202,,8.063968202,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,13,25,0.098014138,0.233593024,0.551402633,3.849766254,4.633022401,4.633022401,3,2,23.49999993,0.680735767,0,0.680735767
Bolivia,2001,0.752004623,,9.32,2.61,6.008700833,,6.008700833,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,13,25,0.090885613,0.242125215,0.568499049,1.712207198,4.633022401,4.633022401,3,2,23.49999993,0.755763531,0,0.755763531
Bolivia,2002,0.752004623,,9.75,6,6.139752289,,6.139752289,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,13,25,0.093563169,0.265142146,0.63866181,7.026767254,4.633022401,4.633022401,3,2,23.49999993,0.786110163,0,0.786110163
Bolivia,2003,0.752004623,175.8,9.57,4.17,5.601470216,,5.601470216,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,13,25,0.094781016,0.303792265,0.651625095,1.297887444,4.633022401,4.633022401,3,2,23.49999993,0.752392292,0,0.752392292
Bolivia,2004,0.752004623,174.1,9.39,2.34,7.159466073,,7.159466073,3,0.3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,13,25,0.111517831,0.299296313,0.665554369,1.398537397,4.633022401,4.633022401,3,2,23.49999993,0.682467759,0,0.682467759
Bolivia,2005,0.752004623,154.9,8.35,2.9,7.372389197,,7.372389197,3,0.25,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,13,25,0.140664897,0.291632284,0.68390592,1.839968204,4.633022401,4.633022401,3,2,23.49999993,0.629514277,0,0.629514277
Bolivia,2006,0.752004623,145.5,8.32,2.94,8.08796182,,8.08796182,3,0.15,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,13,25,0.156760915,0.329393868,0.694956774,1.111608982,4.633022401,4.633022401,3,2,23.49999993,0.587498844,0,0.587498844
Bolivia,2007,0.691402555,130,8.32,2.94,8.282841167,,8.282841167,3,0.15,2,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,13,13,25,0.159276386,0.354424513,0.706686068,1.303335428,4.633022401,4.633022401,3,2,23.49999993,0.584200263,0,0.584200263
Bolivia,2008,0.630800486,107.4,8.32,2.92,9.492745197,,9.492745197,3,0.15,2,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,13,13,25,0.19795514,0.384184334,0.705860847,0.517562211,4.633022401,4.633022401,3,2,23.49999993,0.555657744,0,0.555657744
Bolivia,2009,0.570198417,94.8,10.31,5.84,12.01919708,,12.01919708,3,0.15,2,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,13,13,25,0.20588707,0.342883776,0.708002349,0.215686366,4.633022401,4.633022401,3,2,23.49999993,0.629074931,0,0.629074931
Bolivia,2010,0.509596288,96.3,9.56,,,,,3,0.15,,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,1,0,1,0,0,0,0,0,0,13,13,25,,,,,,4.633022401,3,2,,,0,0.586997569
Bolivia,2011,0.448994219,86.4,9.09,,,,,3,0.15,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,1,0,1,0,0,0,0,0,0,13,13,25,,,,,,4.633022401,3,2,21.71,,0,0.59293741
Bolivia,2012,0.448994219,70.8,9.05,,,,,3,0.15,,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,1,0,1,0,0,0,0,0,0,13,13,25,,,,,,4.633022401,3,2,,,0,0.656492233
Bolivia,2013,0.448994219,68.3,9.93,,,,,3,0.15,,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,1,0,1,0,0,0,0,0,0,13,13,25,,,,0.460544825,,4.633022401,3,2,39.42,,0,0.706890583
Bolivia,2014,0.448994219,61.5,10.04,,,,,3,0.15,,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,1,0,1,0,0,0,0,0,0,13,13,25,,,,0.210024267,,4.633022401,3,2,,,0,0.800465822
Brasil,1985,0,,83.45023697,41.68571483,6.048193563,30.25,30.25,0,0,0,,,,,,,,,,,,,,,,,,,,,30,60,45,0.090646883,0.289289481,0,,0.858858213,0.858858213,2,1,32.49999983,0.327373207,,0.327373207
Brasil,1986,0,,77.29578199,34.09883721,18.68703967,30,30,0,0,0,,,,,,,,,,,,,,,,,,,,,30,60,45,0.088758402,0.314469,0,,0.858858213,0.858858213,2,1,32.49999983,0.334926993,,0.334926993
Brasil,1987,0,,53.19952607,34.09883721,73.43235875,30,30,0,0,0,,,,,,,,,,,,,,,,,,,,,30,50,45,0.081403287,0.297389771,6.83E-05,,0.858858213,0.858858213,2,1,32.49999983,0.283359349,,0.283359349
Brasil,1988,0,,52.78227488,29.77965116,8.967289451,30,30,1,0,0,,,,,,,,,,,,,,,,,,,,,30,50,45,0.089752343,0.293621633,6.83E-05,,0.858858213,0.858858213,2,1,32.49999983,0.271337956,,0.271337956
Brasil,1989,0,,44.02,19.55,5.439115724,30,30,3,0,0,,,,,,,,,,,,,,,,,,,,,30,25,45,0.118974031,0.393717226,0.002323202,,1.698000422,1.698000422,2,2,33.79999983,0.284951389,,0.284951389
Brasil,1990,0,,32.16,19.83,70.99917827,30,30,3,0,0,,,,,,,,,,,,,,,,,,,,,30,25,40,0.147270684,0.51877895,0.002363202,,1.698000422,1.698000422,2,2,33.79999983,0.273637652,,0.273637652
Brasil,1991,0,,25.83,17.27,40.29272164,30,30,3,0,0,,,,,,,,,,,,,,,,,,,,,30,25,40,0.107665697,0.415642029,0.002408821,,1.698000422,1.698000422,2,2,33.79999983,0.336879104,,0.336879104
Brasil,1992,0,,21.15,14.21,9.069856708,20,20,3,0,0,,,,,,,,,,,,,,,,,,,,,30,25,40,0.130730873,0.410692133,0.002456441,,1.698000422,1.698000422,2,2,33.79999983,0.289184302,,0.289184302
Brasil,1993,0,,14.01,8.28,8.45440557,20,20,3,0,0,,,,,,,,,,,,,,,,,,,,,30,25,40,0.136778567,0.415735355,0.002498878,,1.698000422,1.698000422,2,2,33.79999983,0.291563183,,0.291563183
Brasil,1994,0,,12.75,8.21,17.15579101,36.41666667,36.41666667,3,0.25,0,,,,,,,,,,,,,,,,,,,,,31.05,25,25,0.188,0.515625513,0.003527631,0.097399808,1.698000422,1.698000422,2,2,33.79999983,0.256482601,,0.256482601
Brasil,1995,0,,13.05,6.9,11.07528191,44.41666667,44.41666667,3,0,0,1,1,,,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,31.05,35,25,0.139602689,0.444772424,0.005566538,0.196492448,1.698000422,1.698000422,2,2,33.79999983,0.250699461,,0.250699461
Brasil,1996,0,,13.4,8.6,8.556890205,38.75,38.75,3,0,1,1,1,,,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,31.05,30,25,0.146932162,0.420230559,0.015344745,0.963223279,1.698000422,1.698000422,2,2,33.79999983,0.253618389,,0.253618389
Brasil,1997,0,,13.12,7.67,13.36385504,36.66666667,36.66666667,3,0.2,1,1,1,1,0.5,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,31.05,25,25,0.159900595,0.403825837,0.04296699,2.723603249,1.698000422,1.698000422,2,2,33.59999983,0.253757447,,0.253757447
Brasil,1998,0.164809227,,15.95,7.33,10.44456444,36.66666667,36.66666667,3,0.2,1,1,1,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,1,1,0,1,0,0,31.05,25,25,0.162694353,0.394790532,0.098237852,5.401682854,1.698000422,1.698000422,2,2,33.59999983,0.26503697,,0.26503697
Brasil,1999,0.164809227,,15.75,6.97,8.795115707,34.58333333,34.58333333,3,0.38,1,1,1,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,1,1,0,1,0,0,31.05,25,33,0.139360921,0.394242182,0.126967236,2.811897516,1.698000422,1.698000422,2,2,33.49999983,0.258439273,0,0.258439273
Brasil,2000,0.164809227,,15.55,6.82,6.693810033,20.83333333,20.83333333,3,0.38,1,1,1,1,0.5,0.5,0.5,1,0.5,1,1,1,1,1,1,1,1,1,1,0,0,31.05,27.5,37,0.137040454,0.429264103,0.159611155,3.17058301,1.698000422,1.698000422,2,2,33.49999983,0.265716285,0,0.265716285
Brasil,2001,0.164809227,,14.19,7.05,7.272445443,21.66666667,21.66666667,3,0.3,1,1,1,1,0.5,0.5,0.5,1,0.5,1,1,1,1,1,1,1,1,1,1,0,0,31.05,27.5,34,0.141093845,0.443232096,0.192351408,3.241707325,1.698000422,1.698000422,2,2,33.49999983,0.286319822,0,0.286319822
Brasil,2002,0.412804574,,13.76,6.86,13.59751144,25.41666667,25.41666667,3,0.38,2,0.5,1,0,0.5,0,0.5,0.5,0.5,0,0.5,,0,0,0,1,0,1,0,0,0,29,27.5,34,0.175092668,0.473296479,0.209001528,1.656710148,1.977714492,1.977714492,2,2,33.49999983,0.28639847,0,0.28639847
Brasil,2003,0.412804574,8,13.45,6.71,11.20991618,29.16666667,29.16666667,3,0.38,2,1,1,0,1,0,0.5,0,0,0,0.5,,0,0,0,1,0,1,0,0,0,29,27.5,34,0.167846336,0.455202805,0.221574617,1.259016156,1.977714492,1.977714492,2,2,33.49999983,0.300090194,0,0.300090194
Brasil,2004,0.412804574,7.1,13.4,6.76,11.37774123,26.66666667,26.66666667,3,0.38,2,1,1,0,1,0,0,0,0,0,0.5,,0,0,0,1,0,1,0,0,0,29,27.5,34,0.170290222,0.47855812,0.232286311,1.09463501,1.977714492,1.977714492,2,2,33.49999983,0.289399952,0,0.289399952
Brasil,2005,0.473406672,6.2,12.35,6.77,10.57869388,26.66666667,26.66666667,3,0.38,2,1,1,0,1,0,0,0,0,0,0.5,,0,0,0,0,0,1,1,0,0,29,27,34,0.193613389,0.483677309,0.24386171,1.203498602,1.977714492,1.977714492,2,2,33.49999983,0.302955031,0,0.302955031
Brasil,2006,0.534008741,6,12.31,6.76,10.34263456,26.66666667,26.66666667,3,0.38,2,0.5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,29,27,34,0.192107926,0.490366989,0.255362169,1.179417253,1.977714492,1.977714492,2,2,33.49999983,0.32278806,0,0.32278806
Brasil,2007,0.534008741,6.3,12.23,6.71,10.73830777,26.66666667,26.66666667,3,0.38,2,0.5,1,0,0.5,0,0,0,0.5,0,0,0,0,1,0,0,0,1,1,0,1,29,27,34,0.20705767,0.489131085,0.269193232,1.394151211,1.977714492,1.977714492,2,2,33.49999983,0.32387349,0,0.32387349
Brasil,2008,0.534008741,5,13.18,8.03,6.07119395,26,26,3,0,2,0.5,1,0,0.5,0,0,0,0.5,0,0,0,0,1,1,0,0,1,1,0,1,29,27,34,0.221531618,0.51051336,0.288046205,1.866354585,1.977714492,1.977714492,2,2,33.79999983,0.316264987,0,0.316264987
Brasil,2009,0.534008741,4.2,13.6,8.36,5.653589489,23.75,23.75,3,0,2,1,1,1,0.5,1,0.5,1,0.5,1,1,0,1,1,1,0,0,1,1,0,1,29,27,34,0.197547552,0.464181491,0.312221227,2.397368193,1.977714492,1.977714492,2,2,33.79999983,0.342581689,0,0.342581689
Brasil,2010,0.473406672,4.4,13.44,,,25.5,25.5,3,,,1,1,0.5,1,0.5,1,0.5,1,1,1,0,1,1,1,0,0,1,1,0,1,,27.5,34,,,,1.078077316,,1.977714492,2,2,29,,0,0.312806606
Brasil,2011,0.412804574,3.3,13.56,,,27.83333333,27.83333333,3,,,1,1,0.5,1,0.5,1,0.5,1,1,1,0,1,1,1,0,0,1,1,0,1,17,27.5,34,,,,1.409419298,,1.977714492,2,2,29,,0,0.299837112
Brasil,2012,0.412804574,3,13.75,,,28,28,3,,,1,1,0.5,1,0.5,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,17,27.5,34,,,,2.869065523,,1.977714492,2,2,29,,0,0.314347297
Brasil,2013,0.412804574,5.9,14.8,,,28,28,3,,,1,1,0,1,0,1,0,1,0.5,1,0,0,1,1,0,0,1,1,0,1,17,27.5,34,,,,1.387884855,,1.977714492,2,2,29,,0,0.312586933
Brasil,2014,0.412804574,5.5,13.74,,,28.25,28.25,3,,,1,1,1,1,0.5,1,0.5,1,1,1,0,0,1,1,0,0,1,1,0,1,17,27.5,34,,,,2.457869053,,1.977714492,2,2,29,,0,0.314806968
Chile,1985,0,,35.90181818,2.968746,7.764519775,6,6,3,0.5,0,,,,,,,,,,,,,,,,,,,,,20,50,10,0.183593109,0.647569012,0,,2.557319057,2.557319057,2,1,18.89999998,0.57268697,,0.57268697
Chile,1986,0,,20.14490909,1.602857143,6.722298177,6,6,3,0.5,1,,,,,,,,,,,,,,,,,,,,,20,50,10,0.183593109,0.670904559,0.000559886,,2.557319057,2.557319057,2,1,18.89999998,0.401732415,,0.401732415
Chile,1987,0,,20.14490909,1.602857143,6.347227391,6,6,3,0.5,1,,,,,,,,,,,,,,,,,,,,,20,50,10,0.160202305,0.664692074,0.006143502,,2.557319057,2.557319057,2,1,18.89999998,0.342117816,,0.342117816
Chile,1988,0,,15.05881818,0.942857143,8.059470353,6,6,3,0.5,1,,,,,,,,,,,,,,,,,,,,,16,50,10,0.221481419,1.04536528,0.016621288,,2.557319057,2.557319057,2,1,18.89999998,0.326555401,,0.326555401
Chile,1989,0,,15.05881818,0.942857143,5.364380534,5.85,5.85,3,0.5,1,,,,,,,,,,,,,,,,,,,,,16,50,10,0.168839959,0.757783526,0.054027744,,2.557319057,2.557319057,2,1,18.89999998,0.342327356,,0.342327356
Chile,1990,0,,14.85936364,0.848571429,5.859953706,5.4,5.4,3,0.5,1,,,,,,,,,,,,,,,,,,,,,18,50,10,0.1512436,0.638278483,0.091996089,1.394217253,2.557319057,2.557319057,2,1,18.89999998,0.370048374,,0.370048374
Chile,1991,0,,10.97,0.848571429,8.089852653,5.4,5.4,3,0.5,1,,,,,,,,,,,,,,,,,,,,,18,50,15,0.145559161,0.652569498,0.102009322,,3.289407308,3.289407308,2,1,18.89999998,0.378707826,,0.378707826
