country,election_yr,regime,elec_id,date,initial_year,end_year,bloc,actor.type,presidential,upper,n.votes,family,elecrule,sa.formula,tier1_formula,tier2_formula,seats,dm,tier1_avemag,tier1_districts,upper_tier_seats,thresh,legal_threshold,legal_threshold_based_on,Carey_Hix_mean_dm,eff_thresh,maxeffleg
Brazil,2014,2,L-BRA-2014-10-5,5-Oct-14,1990,2014,2,house,0,0,1,PR,9,hare,13,0,513,19,19,27,0,0,0,Share of votes,19,0.0375,3.75
Chile,1973,2,L-CHL-1973-3-4,4-Mar-73,1973,1973,1,house,0,0,1,PR,9,dhondt,25,0,150,5.36,5.36,28,0,0,0,Share of votes,5.36,0.117924528,11.79
Chile,1989,2,L-CHL-1989-12-11,11-Dec-89,1989,2013,2,house,0,0,1,PR,9,dhondt,25,0,120,2,2,60,0,0,0,Share of votes,2,0.25,25
Chile,1993,2,L-CHL-1993-12-11,11-Dec-93,1989,2013,2,house,0,0,1,PR,9,dhondt,25,0,120,2,2,60,0,0,0,Share of votes,2,0.25,25
Chile,1997,2,L-CHL-1997-12-11,11-Dec-97,1989,2013,2,house,0,0,1,PR,9,dhondt,25,0,120,2,2,60,0,0,0,Share of votes,2,0.25,25
Chile,2001,2,L-CHL-2001-12-16,16-Dec-01,1989,2013,2,house,0,0,1,PR,9,dhondt,25,0,120,2,2,60,0,0,0,Share of votes,2,0.25,25
Chile,2005,2,L-CHL-2005-12-11,11-Dec-05,1989,2013,2,house,0,0,1,PR,9,dhondt,25,0,120,2,2,60,0,0,0,Share of votes,2,25,25
Chile,2009,2,L-CHL-2009-12-13,13-Dec-09,1989,2013,2,house,0,0,1,PR,9,dhondt,25,0,120,2,2,60,0,0,0,Share of votes,2,0.25,25
Chile,2013,2,L-CHL-2013-11-17,17-Nov-13,1989,2013,2,house,0,0,1,PR,9,dhondt,25,0,120,2,2,60,0,0,0,Share of votes,2,0.25,25
Colombia,1970,2,L-COL-1970-4-19,19-Apr-70,1970,1990,1,senate,0,1,1,PR,,hare,,0,,22,,,0,0.04166667,0.5,Quotas,8.038461685,0.082978722,8.3
Colombia,1974,2,L-COL-1974-4-21,21-Apr-74,1970,1990,1,house,0,0,1,PR,9,hare,13,0,199,7.65,7.65,26,0,0,0,Share of votes,7.653845787,0.08666667,8.67
Colombia,1978,2,L-COL-1978-2-26,26-Feb-78,1970,1990,1,house,0,0,1,PR,9,hare,13,0,199,7.65,7.65,26,0,0,0,Share of votes,7.653845787,0.08666667,8.67
Colombia,1982,2,L-COL-1982-3-14,14-Mar-82,1970,1990,1,house,0,0,1,PR,9,hare,13,0,199,7.65,7.65,26,0,0,0,Share of votes,7.615385056,0.087053567,8.71
Colombia,1986,2,L-COL-1986-3-9,9-Mar-86,1970,1990,1,house,0,0,1,PR,9,hare,13,0,199,7.65,7.65,26,0,0,0,Share of votes,7.615385056,0.087053567,8.71
Colombia,1990,2,L-COL-1990-3-11,11-Mar-90,1970,1990,1,house,0,0,1,PR,9,hare,13,0,199,7.65,7.65,26,0,0,0,Share of votes,7.730769157,0.085903084,8.59
Colombia,1991,2,L-COL-1991-10-27,27-Oct-91,1991,2002,2,house,0,0,1,Other,8,plurality,13,0,161,4.88,4.88,33,0,0,0,Share of votes,4.878787994,0.127577317,12.76
Colombia,1994,2,L-COL-1994-3-13,13-Mar-94,1991,2002,2,house,0,0,1,Other,8,plurality,13,0,163,4.88,4.88,33,0,0,0,Share of votes,4.878787994,0.127577317,12.76
Colombia,1998,2,L-COL-1998-3-8,8-Mar-98,1991,2002,2,house,0,0,1,Other,8,plurality,13,0,161,4.88,4.88,33,0,0,0,Share of votes,4.878787994,0.127577317,12.76
Colombia,2002,2,L-COL-2002-3-10,10-Mar-02,1991,2002,2,house,0,0,1,Other,8,plurality,25,0,166,4.88,4.88,33,0,0,0,Share of votes,4.878787994,0.127577317,12.76
Colombia,2006,2,L-COL-2006-3-12,12-Mar-06,2006,2014,3,house,0,0,1,PR,9,dhondt,25,0,163,4.88,4.88,33,0,0.085034014,0.5,Quotas,4.878787994,0.127577317,12.76
Colombia,2010,2,L-COL-2010-3-14,14-Mar-10,2006,2014,3,house,0,0,1,PR,9,dhondt,25,0,164,4.88,4.88,33,0,0.085034014,0.5,Quotas,4.878787994,0.127577317,12.76
Colombia,2014,2,L-COL-2014-3-9,9-Mar-14,2006,2014,3,house,0,0,1,PR,9,dhondt,25,0,164,4.88,4.88,33,0,0.085034014,0.5,Quotas,4.878787994,0.127577317,12.76
CostaRica,1970,2,L-COS-1970-2-1,1-Feb-70,1970,2014,1,house,0,0,1,PR,9,hare,13,0,57,8.14,8.14,7,0,0.061425061,0.5,Quotas,8.140000343,0.08205689,8.2
CostaRica,1974,2,L-COS-1974-2-3,3-Feb-74,1970,2014,1,house,0,0,1,PR,9,hare,13,0,57,8.14,8.14,7,0,0.061425061,0.5,Quotas,8.140000343,0.08205689,8.2
CostaRica,1978,2,L-COS-1978-2-5,5-Feb-78,1970,2014,1,house,0,0,1,PR,9,hare,13,0,57,8.14,8.14,7,0,0.061425061,0.5,Quotas,8.140000343,0.08205689,8.2
CostaRica,1982,2,L-COS-1982-2-7,7-Feb-82,1970,2014,1,house,0,0,1,PR,9,hare,13,0,57,8.14,8.14,7,0,0.061425061,0.5,Quotas,8.140000343,0.08205689,8.2
CostaRica,1986,2,L-COS-1986-2-2,2-Feb-86,1970,2014,1,house,0,0,1,PR,9,hare,13,0,57,8.14,8.14,7,0,0.061425061,0.5,Quotas,8.140000343,0.08205689,8.2
CostaRica,1990,2,L-COS-1990-2-4,4-Feb-90,1970,2014,1,house,0,0,1,PR,9,hare,13,0,57,8.14,8.14,7,0,0.061425061,0.5,Quotas,8.140000343,0.08205689,8.2
CostaRica,1994,2,L-COS-1994-2-6,6-Feb-94,1970,2014,1,house,0,0,1,PR,9,hare,13,0,57,8.14,8.14,7,0,0.061425061,0.5,Quotas,8.140000343,0.08205689,8.2
CostaRica,1998,2,L-COS-1998-2-1,1-Feb-98,1970,2014,1,house,0,0,1,PR,9,hare,13,0,57,8.14,8.14,7,0,0.061425061,0.5,Quotas,8.140000343,0.08205689,8.2
CostaRica,2002,2,L-COS-2002-2-3,3-Feb-02,1970,2014,1,house,0,0,1,PR,9,hare,13,0,57,8.14,8.14,7,0,0.061425061,0.5,Quotas,8.142857552,0.082031246,8.2
CostaRica,2006,2,L-COS-2006-2-5,5-Feb-06,1970,2014,1,house,0,0,1,PR,9,hare,13,0,57,8.14,8.14,7,0,0.061425061,0.5,Quotas,8.142857552,0.082031246,8.2
CostaRica,2010,2,L-COS-2010-2-7,7-Feb-10,1970,2014,1,house,0,0,1,PR,9,hare,13,0,57,8.14,8.14,7,0,0.061425061,0.5,Quotas,8.142857552,0.082031246,8.2
CostaRica,2014,2,L-COS-2014-2-2,2-Feb-14,1970,2014,1,house,0,0,1,PR,9,hare,13,0,57,8.14,8.14,7,0,0.061425061,0.5,Quotas,8.142857552,0.082031246,8.2
DominicanRep,1970,2,L-DOM-1970-5-16,16-May-70,1970,1978,1,house,0,0,1,PR,9,dhondt,25,0,74,2.74,2.74,27,0,0,0,Share of votes,2.740740741,0.20049505,20.05
DominicanRep,1974,2,L-DOM-1974-5-16,16-May-74,1970,1978,1,house,0,0,1,PR,9,dhondt,25,0,91,3.37,3.37,27,0,0,0,Share of votes,3.37037037,0.171610169,17.16
DominicanRep,1978,2,L-DOM-1978-5-16,16-May-78,1970,1978,1,house,0,0,1,PR,9,dhondt,25,0,91,3.37,3.37,27,0,0,0,Share of votes,3.369999886,0.171624718,17.16
DominicanRep,1982,2,L-DOM-1982-5-16,16-May-82,1982,2010,2,house,0,0,1,PR,9,dhondt,25,0,120,4.44,4.44,27,0,0,0,Share of votes,4.440000057,0.137867646,13.79
DominicanRep,1986,2,L-DOM-1986-5-16,16-May-86,1982,2010,2,house,0,0,1,PR,9,dhondt,25,0,120,4,4,30,0,0,0,Share of votes,4,0.15,15
DominicanRep,1990,2,L-DOM-1990-5-16,16-May-90,1982,2010,2,house,0,0,1,PR,9,dhondt,25,0,120,4,4,30,0,0,0,Share of votes,4,0.15,15
DominicanRep,1994,2,L-DOM-1994-5-16,16-May-94,1982,2010,2,house,0,0,1,PR,9,dhondt,25,0,120,4,4,30,0,0,0,Share of votes,4,15,15
DominicanRep,1998,2,L-DOM-1998-5-16,16-May-98,1982,2010,2,house,0,0,1,PR,9,dhondt,25,0,150,5,5,30,0,0,0,Share of votes,4.96999979,0.125628145,12.56
DominicanRep,2002,2,L-DOM-2002-5-16,16-May-02,1982,2010,2,house,0,0,1,PR,9,dhondt,25,0,150,4.69,4.69,32,0,0,0,Share of votes,3.191488981,0.178934026,17.89
DominicanRep,2006,2,L-DOM-2006-5-16,16-May-06,1982,2010,2,house,0,0,1,PR,9,dhondt,25,0,178,5.56,5.56,32,0,0,0,Share of votes,5.5625,11.42857143,11.43
DominicanRep,2010,2,L-DOM-2010-5-16,16-May-10,1982,2010,2,house,0,0,1,PR,9,dhondt,25,0,183,5.72,5.72,32,0,0,0,Share of votes,5.71875,11.1627907,11.16
Ecuador,1979,2,L-ECU-1979-4-29,29-Apr-79,1979,1996,1,house,0,0,1,PR,9,hare,13,0,69,2.85,2.85,20,12,0.175438596,0.5,Quotas,3.285713911,0.175000015,17.5
Ecuador,1984,2,L-ECU-1984-1-29,29-Jan-84,1979,1996,1,house,0,0,1,PR,9,hare,13,0,71,2.95,2.95,20,12,0.169491525,0.5,Quotas,3.380951881,0.171195672,17.11
Ecuador,1986,2,L-ECU-1986-6-4,4-Jun-86,1979,1996,1,house,0,0,1,PR,9,hare,13,0,71,2.95,2.95,20,12,0,0,Share of votes,3.380951881,0.171195672,17.12
Ecuador,1988,2,L-ECU-1988-1-31,31-Jan-88,1979,1996,1,house,0,0,1,PR,9,hare,13,0,71,2.95,2.95,20,12,0.169491525,0.5,Quotas,3.380951881,0.171195672,17.11
Ecuador,1990,2,L-ECU-1990-6-17,17-Jun-90,1979,1996,1,house,0,0,1,PR,9,hare,13,0,72,3,3,20,12,0,0,Share of votes,3.272727013,0.175531926,17.55
Ecuador,1992,2,L-ECU-1992-5-17,17-May-92,1979,1996,1,house,0,0,1,PR,9,hare,13,0,77,3.25,3.25,20,12,0,0,Share of votes,3.5,0.166666667,16.67
Ecuador,1994,2,L-ECU-1994-5-1,1-May-94,1979,1996,1,house,0,0,1,PR,9,hare,13,0,77,3.25,3.25,20,12,0,0,Share of votes,3.666666667,0.160714286,16.07
Ecuador,1996,2,L-ECU-1996-5-19,19-May-96,1979,1996,1,house,0,0,1,PR,9,hare,13,0,82,3.5,3.5,20,12,0,0,Share of votes,3.727272987,0.158653837,15.87
Ecuador,1998,2,L-ECU-1998-5-31,31-May-98,1998,2006,2,house,0,0,1,PR,9,dhondt,25,0,120,5,5,20,20,0,0,Share of votes,5.681818008,0.112244901,11.22
Ecuador,2002,2,L-ECU-2002-10-20,20-Oct-02,1998,2006,2,house,0,0,1,PR,9,dhondt,25,0,99,4.5,4.5,22,0,0,0,Share of votes,5.681818008,0.112244901,11.22
Ecuador,2006,2,L-ECU-2006-10-15,15-Oct-06,1998,2008,2,house,0,0,1,PR,9,dhondt,25,0,99,4.5,4.5,22,0,0,0,Share of votes,5.681818008,0.112244901,11.22
Ecuador,2009,2,L-ECU-2009-4-26,26-Apr-09,2009,2013,3,house,0,0,1,PR,9,dhondt,25,26,124,4.29,4.29,24,21,0,0,Share of votes,4.96,0.125838926,12.58
Ecuador,2013,2,L-ECU-2013-2-17,17-Feb-13,2009,2013,3,house,0,0,1,PR,9,dhondt,25,26,137,3.74,3.74,31,21,0,0,Share of votes,1.141666667,0.350194553,35.02
ElSalvador,1985,2,L-SAL-1985-3-31,31-Mar-85,1985,2015,1,house,0,0,1,PR,9,hare,13,0,60,4.29,4.29,14,0,0,0,Share of votes,4.285714149,0.141891896,14.19
ElSalvador,1988,2,L-SAL-1988-3-20,20-Mar-88,1985,2015,1,house,0,0,1,PR,9,hare,13,0,60,4.29,4.29,14,0,0,0,Share of votes,4.285714149,0.141891896,14.19
ElSalvador,1991,2,L-SAL-1991-3-10,10-Mar-91,1985,2015,1,house,0,0,1,PR,9,hare,13,0,84,4.57,4.57,14,20,0,0,Share of votes,5.599999905,0.113636365,11.36
ElSalvador,1994,2,L-SAL-1994-3-20,20-Mar-94,1985,2015,1,house,0,0,1,PR,9,hare,13,0,84,4.57,4.57,14,20,0,0,Share of votes,5.599999905,0.113636365,11.36
ElSalvador,1997,2,L-SAL-1997-3-16,16-Mar-97,1985,2015,1,house,0,0,1,PR,9,hare,13,0,84,4.57,4.57,14,20,0,0,Share of votes,5.599999905,0.113636365,11.36
ElSalvador,2000,2,L-SAL-2000-3-12,12-Mar-00,1985,2015,1,house,0,0,1,PR,9,hare,13,0,84,4.57,4.57,14,20,0,0,Share of votes,5.599999905,0.113636365,11.36
ElSalvador,2003,2,L-SAL-2003-3-16,16-Mar-03,1985,2015,1,house,0,0,1,PR,9,hare,13,0,84,4.57,4.57,14,20,0,0,Share of votes,5.599999905,0.113636365,11.36
ElSalvador,2006,2,L-SAL-2006-3-12,12-Mar-06,1985,2015,1,house,0,0,1,PR,9,hare,13,0,84,6,6,14,0,0,0,Share of votes,5.599999905,0.113636365,11.36
ElSalvador,2009,2,L-SAL-2009-1-18,18-Jan-09,1985,2015,1,house,0,0,1,PR,9,hare,13,0,84,6,6,14,0,0,0,Share of votes,5.599999905,0.113636365,11.36
ElSalvador,2012,2,L-SAL-2012-3-11,11-Mar-12,1985,2015,1,house,0,0,1,PR,9,hare,13,0,84,6,6,14,0,0,0,Share of votes,5.599999905,0.113636365,11.36
ElSalvador,2015,2,L-SAL-2015-3-27,27-Mar-15,1985,2015,1,house,0,0,1,PR,9,hare,13,0,84,6,6,14,0,0,0,Share of votes,6,0.107142857,10.71
Guatemala,1970,2,L-GUA-1970-3-1,1-Mar-70,1970,1999,1,house,0,0,1,PR,9,dhondt,25,0,55,2.5,2.5,22,0,0,0,Share of votes,2.5,0.214285714,21.43
Guatemala,1974,2,L-GUA-1974-3-3,3-Mar-74,1970,1999,1,house,0,0,1,PR,9,dhondt,25,0,60,2.73,2.73,22,0,0,0,Share of votes,2.727272727,0.201219512,20.12
Guatemala,1978,2,L-GUA-1978-3-5,5-Mar-78,1970,1999,1,house,0,0,1,PR,9,dhondt,25,0,61,2.77,2.77,22,0,0,0,Share of votes,2.772727273,0.198795181,19.88
Guatemala,1982,4,L-GUA-1982-3-7,7-Mar-82,1970,1999,1,house,0,0,1,PR,9,dhondt,25,0,66,3,3,22,0,0,0,Share of votes,3,0.1875,18.75
Guatemala,1985,2,L-GUA-1985-11-3,3-Nov-85,1970,1999,1,house,0,0,1,PR,9,dhondt,25,0,100,3.26,3.26,23,25,0,0,Share of votes,4.166666667,0.14516129,14.52
Guatemala,1990,2,L-GUA-1990-11-11,11-Nov-90,1970,1999,1,house,0,0,1,PR,9,dhondt,25,0,116,3.87,3.87,23,27,0,0,Share of votes,4.833333333,0.128571429,12.86
Guatemala,1994,2,L-GUA-1994-8-14,14-Aug-94,1970,1999,1,house,0,0,1,PR,9,dhondt,25,0,80,2.78,2.78,23,16,0,0,Share of votes,3.333333333,0.173076923,17.31
Guatemala,1995,2,L-GUA-1995-11-12,12-Nov-95,1970,1999,1,house,0,0,1,PR,9,dhondt,25,0,80,2.78,2.78,23,16,0,0,Share of votes,3.333333333,0.173076923,17.31
Guatemala,1999,2,L-GUA-1999-11-7,7-Nov-99,1970,2003,1,house,0,0,1,PR,9,dhondt,25,0,113,3.96,3.96,23,22,0,0,Share of votes,4.708333015,0.131386869,13.14
Guatemala,2003,2,L-GUA-2003-11-9,9-Nov-03,2003,2011,2,house,0,0,1,PR,9,dhondt,25,0,158,5.77,5.77,22,31,0,0,Share of votes,6.583333015,0.098901103,9.89
Guatemala,2007,2,L-GUA-2007-9-9,9-Sep-07,2003,2011,2,house,0,0,1,PR,9,dhondt,25,0,158,5.77,5.77,22,31,0,0,Share of votes,6.583333333,0.098901099,9.89
Guatemala,2011,2,L-GUA-2011-9-11,11-Sep-11,2003,2013,2,house,0,0,1,PR,9,dhondt,25,0,158,5.77,5.77,22,31,0,0,Share of votes,6.583333333,0.098901099,9.89
Honduras,1971,2,L-HON-1971-3-28,28-Mar-71,1971,1971,1,house,0,0,1,PR,9,hare,13,0,64,0,,,0,0,0,Share of votes,,,
Honduras,1985,2,L-HON-1985-11-24,24-Nov-85,1985,2013,2,house,0,0,1,PR,9,hare,13,0,134,7.44,7.44,18,0,0,0,Share of votes,7.444444444,0.088815789,8.88
Honduras,1989,2,L-HON-1989-11-26,26-Nov-89,1985,2013,2,house,0,0,1,PR,9,hare,13,0,128,7.11,7.11,18,0,0,0,Share of votes,7.110000134,0.09247842,9.25
Honduras,1993,2,L-HON-1993-11-28,28-Nov-93,1985,2013,2,house,0,0,1,PR,9,hare,13,0,128,7.11,7.11,18,0,0,0,Share of votes,7.110000134,0.09247842,9.25
Honduras,1997,2,L-HON-1997-11-30,30-Nov-97,1985,2013,2,house,0,0,1,PR,9,hare,13,0,133,7.39,7.39,18,0,0,0,Share of votes,7.110000134,0.09247842,9.25
Honduras,2001,2,L-HON-2001-11-25,25-Nov-01,1985,2013,2,house,0,0,1,PR,9,hare,13,0,128,7.11,7.11,18,0,0,0,Share of votes,7.111111164,0.092465753,9.25
Honduras,2005,2,L-HON-2005-11-27,27-Nov-05,1985,2013,2,house,0,0,1,PR,9,hare,13,0,128,7.11,7.11,18,0,0,0,Share of votes,7.111111164,0.092465753,9.25
Honduras,2009,2,L-HON-2009-11-29,29-Nov-09,1985,2013,2,house,0,0,1,PR,9,hare,13,0,128,7.11,7.11,18,0,0,0,Share of votes,7.111111164,0.092465753,9.25
Honduras,2013,2,L-HON-2013-11-24,24-Nov-13,1985,2013,2,house,0,0,1,PR,9,hare,13,0,128,7.11,7.11,18,0,0,0,Share of votes,7.111111164,0.092465753,9.25
Mexico,1997,2,L-MEX-1997-7-6,6-Jul-97,1994,2015,1,house,0,0,1,Mixed,12,plurality,1,13,500,1,1,300,200,0.02,0.02,Share of votes,1.639344262,0.284161491,28.42
Mexico,2000,2,L-MEX-2000-7-2,2-Jul-00,1994,2015,1,house,0,0,1,Mixed,12,plurality,1,13,500,1,1,300,200,0.02,0.02,Share of votes,1.64,0.007425743,2
Mexico,2003,2,L-MEX-2003-7-6,6-Jul-03,1994,2015,1,house,0,0,1,Mixed,12,plurality,1,13,500,1,1,300,200,0.02,0.02,Share of votes,1.64,0.007425743,2
Mexico,2006,2,L-MEX-2006-7-2,2-Jul-06,1994,2015,1,house,0,0,1,Mixed,12,plurality,1,13,500,1,1,300,200,0.02,0.02,Share of votes,1.64,0.007425743,2
Mexico,2009,2,L-MEX-2009-7-5,5-Jul-09,1994,2015,1,house,0,0,1,Mixed,12,plurality,1,13,500,1,1,300,200,0.02,0.02,Share of votes,1.64,0.007425743,2
Mexico,2012,2,L-MEX-2012-7-1,1-Jul-12,1994,2015,1,house,0,0,1,Mixed,12,plurality,1,13,500,1,1,300,200,0.02,0.02,Share of votes,1.64,0.007425743,2
Mexico,2015,2,L-MEX-2015-6-7,7-Jun-15,1994,2015,1,house,0,0,1,Mixed,12,plurality,1,13,500,1,1,300,200,0.03,0.03,Share of votes,1.64,0.007425743,3
Nicaragua,1990,2,L-NIC-1990-2-25,25-Feb-90,1990,1990,1,house,0,0,1,PR,9,hare,13,0,92,10,10,9,0,0,0,Share of votes,10,0.068181818,6.82
Nicaragua,1996,2,L-NIC-1996-10-20,20-Oct-96,1996,2011,2,house,0,0,1,PR,9,hare,13,13,93,4.375,4.375,16,20,0,0,Share of votes,5,0.125,12.5
Nicaragua,2001,2,L-NIC-2001-11-4,4-Nov-01,1996,2011,2,house,0,0,1,PR,9,hare,13,14,92,4.12,4.12,17,20,0,0,Share of votes,5,0.125,12.5
Nicaragua,2006,2,L-NIC-2006-11-5,5-Nov-06,1996,2011,2,house,0,0,1,PR,9,hare,13,14,91,4.12,4.12,17,20,0,0,Share of votes,5,0.125,12.5
Nicaragua,2011,2,L-NIC-2011-11-6,6-Nov-11,1996,2011,2,house,0,0,1,PR,9,hare,13,14,92,4.12,4.12,17,20,0,0,Share of votes,5,0.125,12.5
Panama,1989,2,L-PAN-1989-5-7,7-May-89,1989,2014,1,house,0,0,1,PR,9,hare,13,0,67,1.68,1.68,40,0,0.297619048,0.5,Quotas,1.679999948,0.279850752,29.76
