"median.party"	"median.party.mood"	"prez.party"	"prez.party.mood"	"legislative.median"	"country"	"year"
"MAS"	-0.315880727272727	"MAS"	-0.315880727272727	-0.165621264516129	"Bolivia"	2006
"PL"	-0.0562483108108108	"PL"	-0.0562483108108108	-0.0345755208333333	"Honduras"	1997
"PL"	-0.196438616071429	"PL"	-0.196438616071429	-0.160336383928571	"Honduras"	1994
"PN"	0.0243066	"PN"	0.0243066	-0.0148699303571429	"Honduras"	2002
"PL"	-0.171195972093023	"PL"	-0.171195972093023	-0.15303925	"Honduras"	2006
"PN"	0.0989340625	"PN"	0.0989340625	0.07369578125	"Honduras"	2010
"PL"	-0.155901234712667	"PC"	-0.0702801191293793	-0.104895700193103	"Colombia"	1998
"PL-O"	-0.1196251875	"PL-U"	-0.160016303571429	-0.107860888888889	"Colombia"	2002
"PC"	-0.158538333333333	"U"	0.007262625	-0.165561565217391	"Colombia"	2006
"PC"	0.109526753447222	"U"	0.139784894704	0.0870101795333333	"Colombia"	2010
"PUSC"	-0.02479306222575	"PUSC"	-0.02479306222575	-0.088622009658	"CostaRica"	1998
"PLN"	-0.1420238595984	"PLN"	-0.1420238595984	0.00721257055457391	"CostaRica"	1994
"PAC"	-0.244710526228393	"PUSC"	-0.130999999869	-0.17536842099	"CostaRica"	2002
"PLN"	-0.16599999991368	"PLN"	-0.16599999991368	-0.14699999992356	"CostaRica"	2006
"PLN"	0.108668184069565	"PLN"	0.108668184069565	0.128210531090909	"CostaRica"	2010
"PCN"	0.1670967767	"AL"	0.198568548287813	-0.0321068548226563	"Nicaragua"	1996
"PLC"	0.07338164256	"PLC"	0.07338164256	NA	"Nicaragua"	2002
"PLC"	0.0419281481873333	"FSLN"	-0.26844285573	NA	"Nicaragua"	2007
"PAN"	0.25155	"PAN"	0.25155	-0.02565	"Guatemala"	1995
"FRG"	0.00800054545454546	"FRG"	0.00800054545454546	0.00400027272727273	"Guatemala"	2000
"GANA"	0.0726093076923077	"Patriota"	0.190160142857143	0.0350259411764706	"Guatemala"	2004
"GANA"	0.0923840933333333	"UNE"	-0.147467535483871	0.0743390882352941	"Guatemala"	2008
"Patriota"	0.161140066374194	"Patriota"	0.161140066374194	0.12797865208421	"Guatemala"	2012
"ANR"	-0.0391015625	"ANR"	-0.0391015625	0.015234375	"Paraguay"	1998
"PLRA"	0.105246428571429	"ANR"	0.079811875	0.105246428571429	"Paraguay"	1993
"UNACE"	-0.174	"ANR"	-0.283773913043478	-0.132878260869565	"Paraguay"	2003
"PLRA"	0.076532544	"PLRA"	0.076532544	0.00337011428571429	"Paraguay"	2008
"PRE"	-0.00223776224	"DP"	-0.0432464516129032	-0.0208757396658462	"Ecuador"	1998
"DP"	-0.0944347824576	"PRE"	-0.1324521739296	-0.0348739130349	"Ecuador"	1996
"PSP"	-0.18228	"PRIAN"	-0.02254	-0.0614417391304348	"Ecuador"	2002
"MPAIS"	-0.3675	"PRIAN"	0.06566	-0.28175	"Ecuador"	2007
"MPAIS"	-0.515195708551136	"MPAIS"	-0.515195708551136	-0.360585630511364	"Ecuador"	2009
"PRD"	-0.166551657446808	"PLD"	-0.158921577941176	-0.162408885294118	"RepublicaDominicana"	1998
"PRSC"	-0.20085416682735	"PRD"	-0.254894827586207	-0.121069252697897	"RepublicaDominicana"	1994
"PRD"	-0.200489590780597	"PRD"	-0.200489590780597	-0.185417203896811	"RepublicaDominicana"	2002
"PLD"	-0.091832125	"PLD"	-0.091832125	-0.0524970416666667	"RepublicaDominicana"	2006
"PLD"	0.0836195007631579	"PLD"	0.0836195007631579	0.0773124586036984	"RepublicaDominicana"	2010
"UN"	-0.0108538461793846	"PP"	0.188417410714286	-0.0171659091173182	"Peru"	2001
"Cambio90"	0.468468509335702	"Cambio90"	0.468468509335702	0.38721041757775	"Peru"	1995
"PAP"	0.14961496149615	"PAP"	0.14961496149615	0.0693361454065823	"Peru"	2006
"PC"	-0.0248253968005714	"PC"	-0.0248253968005714	-0.143417396755238	"Uruguay"	2000
"PC"	0.157663911732409	"PC"	0.157663911732409	0.0611349861819545	"Uruguay"	1995
"FA"	-0.200814528128723	"FA"	-0.200814528128723	-0.0723416037908797	"Uruguay"	2005
"FA"	-0.137088835717949	"FA"	-0.137088835717949	-0.111512560397436	"Uruguay"	2009
"MVR"	-0.161960025840426	"MVR"	-0.161960025840426	-0.0742222220366667	"Venezuela"	2000
"AD"	0.187757048232833	"AD"	0.187757048232833	0.133213101260167	"Venezuela"	1993
"PRD"	0.0684507733333333	"PA"	0.1586688	0.0919488	"Panama"	1999
"PRD"	-0.0139002849097778	"PRD"	-0.0139002849097778	NA	"Panama"	2004
"PA"	-0.19524096	"CD"	-0.207821714285714	-0.200085704347826	"Panama"	2009
"PSDB"	0.21963641184375	"PT"	0.006087476675	0.15479583545	"Brasil"	2007
"PP"	-0.0454815142857143	"PT"	-0.3055468	-0.0783076857142857	"Brasil"	2003
"PSDB"	0.167139571428571	"PT"	0.12654	NA	"Brasil"	2013
