Country	Variable	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009
Mexico	LaborIndex	0.39	0.4	0.4	0.41	0.41	0.42	0.42	0.42	0.42	0.42	0.43	0.43	0.41	0.4	0.4	0.4	0.4	0.4	0.4	0.39	0.39	0.39	0.39	0.39	0.39
Nicaragua	LaborIndex	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.47	0.49	0.53	0.54	0.67	0.67	0.65	0.66	0.66	0.64	0.63	0.63	0.63	0.63	0.63	0.63	0.62	0.61
Paraguay	LaborIndex	0.65	0.66	0.65	0.64	0.64	0.65	0.65	0.66	0.65	0.63	0.62	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.64	0.64	0.64	0.64	0.65
Peru	LaborIndex	0.44	0.41	0.42	0.39	0.45	0.47	0.47	0.55	0.55	0.54	0.54	0.54	0.51	0.62	0.62	0.61	0.61	0.61	0.62	0.64	0.64	0.64	0.65	0.66	0.65
TrinidadTobago	LaborIndex	0.89	0.89	0.89	0.89	0.89	0.89	0.89	0.89	0.89	0.89	0.89	0.89	0.89	0.89	0.9	0.9	0.9	0.9	0.91	0.91	0.92	0.92	0.92	0.92	0.91
Uruguay	LaborIndex	0.41	0.41	0.42	0.42	0.42	0.42	0.41	0.41	0.41	0.41	0.41	0.43	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.41	0.41	0.43	0.43	0.43
Venezuela	LaborIndex	0.43	0.43	0.43	0.44	0.43	0.45	0.45	0.43	0.42	0.42	0.43	0.45	0.42	0.54	0.54	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.56	0.54
Argentina	JobTerminationCost	2.28	2.28	2.28	2.28	2.28	2.28	2.28	2.28	2.28	2.28	2.28	2.28	2.28	2.28	2.28	2.28	2.28	2.28	2.28	2.28	2.23	2.23	2.23	2.23	2.23
Bolivia	JobTerminationCost	4.63	4.63	4.63	4.63	4.63	4.63	4.63	4.63	4.63	4.63	4.63	4.63	4.63	4.63	4.63	4.63	4.63	4.63	4.63	4.63	4.63	4.63	4.63	4.63	4.63
Brasil	JobTerminationCost	0.86	0.86	0.86	0.86	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.98	1.98	1.98	1.98	1.98	1.98	1.98	1.98
Chile	JobTerminationCost	2.56	2.56	2.56	2.56	2.56	2.56	3.29	3.29	3.29	3.29	3.29	3.29	3.29	3.29	3.29	3.29	3.29	3.29	3.29	3.29	3.29	3.29	3.29	3.29	3.29
Colombia	JobTerminationCost	3.03	3.03	3.03	3.03	3.03	3.03	3.38	3.38	3.38	3.38	3.38	3.38	3.38	3.38	3.38	3.38	3.38	3.38	2.51	2.51	2.51	2.51	2.51	2.51	2.51
CostaRica	JobTerminationCost	3.04	3.04	3.04	3.04	3.04	3.04	3.04	3.04	3.04	3.04	3.04	3.04	3.04	3.04	3.04	2.6	2.6	2.6	2.6	2.6	2.6	2.6	2.6	2.6	2.6
DominicanRep	JobTerminationCost	2.03	2.03	2.03	2.03	2.03	2.03	2.03	2.03	2.67	2.67	2.67	2.67	2.67	2.67	2.67	2.67	2.67	2.67	2.67	2.67	2.67	2.67	2.67	2.67	2.67
Ecuador	JobTerminationCost	4.23	4.23	4.23	4.23	4.23	4.23	4.23	3.97	3.97	3.97	3.97	3.97	3.97	3.97	3.97	3.97	3.97	3.97	3.97	3.97	3.97	3.97	3.97	3.97	3.97
ElSalvador	JobTerminationCost	3.13	3.13	3.13	3.13	3.13	3.13	3.13	3.13	3.13	3.13	3.13	3.13	3.13	3.13	3.13	3.13	3.13	3.13	3.13	3.13	3.13	3.13	3.13	3.13	3.13
Guatemala	JobTerminationCost	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9
Honduras	JobTerminationCost	3.1	3.1	3.1	3.1	3.1	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.49	3.53
Jamaica	JobTerminationCost	2.06	2.06	2.06	2.06	2.06	2.06	2.06	2.06	2.06	2.06	2.06	2.06	2.06	2.06	2.06	2.06	2.06	2.06	2.06	2.06	2.06	2.06	2.06	2.06	2.06
Mexico	JobTerminationCost	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67
Nicaragua	JobTerminationCost	6.66	6.66	6.66	6.66	6.66	6.66	6.66	6.66	6.66	6.66	6.66	2.64	2.64	2.64	2.64	2.64	2.64	2.64	2.64	2.64	2.64	2.64	2.64	2.64	2.64
Paraguay	JobTerminationCost	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	2.47	2.47	2.47	2.47	2.47	2.47	2.47	2.47	2.47	2.47	2.47	2.47	2.47	2.47	2.47	2.47
Peru	JobTerminationCost	5.31	5.31	5.31	5.31	5.31	5.31	5.31	2.76	2.76	2.76	2.76	2.76	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7
TrinidadTobago	JobTerminationCost	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85
Uruguay	JobTerminationCost	2.76	2.76	2.76	2.76	2.76	2.76	2.76	2.76	2.76	2.76	2.76	2.76	2.76	2.76	2.76	2.76	2.76	2.76	2.76	2.76	2.76	2.76	2.76	2.76	2.76
Venezuela	JobTerminationCost	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03	3.16	3.16	3.16	3.16	3.16	3.16	3.16	3.16	3.16	3.16	3.16	3.16
Argentina	StdJobTerminationCost	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.78	0.78	0.78	0.78	0.78
Bolivia	StdJobTerminationCost	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39
Brasil	StdJobTerminationCost	1	1	1	1	0.86	0.86	0.86	0.86	0.86	0.86	0.86	0.86	0.86	0.86	0.86	0.86	0.86	0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.82
Chile	StdJobTerminationCost	0.72	0.72	0.72	0.72	0.72	0.72	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61
Colombia	StdJobTerminationCost	0.65	0.65	0.65	0.65	0.65	0.65	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.73	0.73	0.73	0.73	0.73	0.73	0.73
CostaRica	StdJobTerminationCost	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.72	0.72	0.72	0.72	0.72	0.72	0.72	0.72	0.72	0.72
DominicanRep	StdJobTerminationCost	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71
Ecuador	StdJobTerminationCost	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
ElSalvador	StdJobTerminationCost	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63
Guatemala	StdJobTerminationCost	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67
Honduras	StdJobTerminationCost	0.64	0.64	0.64	0.64	0.64	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57
Jamaica	StdJobTerminationCost	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81
Mexico	StdJobTerminationCost	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54
Nicaragua	StdJobTerminationCost	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71
Paraguay	StdJobTerminationCost	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74
Peru	StdJobTerminationCost	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.69	0.69	0.69	0.69	0.69	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54
TrinidadTobago	StdJobTerminationCost	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68
Uruguay	StdJobTerminationCost	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69
Venezuela	StdJobTerminationCost	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63
Argentina	HiringFlexibility	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Bolivia	HiringFlexibility	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Brasil	HiringFlexibility	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Chile	HiringFlexibility	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Colombia	HiringFlexibility	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
CostaRica	HiringFlexibility	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
DominicanRep	HiringFlexibility	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Ecuador	HiringFlexibility	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
ElSalvador	HiringFlexibility	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Guatemala	HiringFlexibility	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Honduras	HiringFlexibility	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Jamaica	HiringFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mexico	HiringFlexibility	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Nicaragua	HiringFlexibility	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Paraguay	HiringFlexibility	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Peru	HiringFlexibility	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2
TrinidadTobago	HiringFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uruguay	HiringFlexibility	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Venezuela	HiringFlexibility	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Argentina	StdHiringFlexibility	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Bolivia	StdHiringFlexibility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brasil	StdHiringFlexibility	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Chile	StdHiringFlexibility	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Colombia	StdHiringFlexibility	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
CostaRica	StdHiringFlexibility	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
DominicanRep	StdHiringFlexibility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ecuador	StdHiringFlexibility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ElSalvador	StdHiringFlexibility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guatemala	StdHiringFlexibility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Honduras	StdHiringFlexibility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jamaica	StdHiringFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mexico	StdHiringFlexibility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nicaragua	StdHiringFlexibility	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Paraguay	StdHiringFlexibility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peru	StdHiringFlexibility	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
TrinidadTobago	StdHiringFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uruguay	StdHiringFlexibility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Venezuela	StdHiringFlexibility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Argentina	WorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Bolivia	WorkHoursFlexibility	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Brasil	WorkHoursFlexibility	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Chile	WorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Colombia	WorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CostaRica	WorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DominicanRep	WorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Ecuador	WorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ElSalvador	WorkHoursFlexibility	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Guatemala	WorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Honduras	WorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Jamaica	WorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mexico	WorkHoursFlexibility	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Nicaragua	WorkHoursFlexibility	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Paraguay	WorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Peru	WorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TrinidadTobago	WorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uruguay	WorkHoursFlexibility	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Venezuela	WorkHoursFlexibility	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Argentina	StdWorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Bolivia	StdWorkHoursFlexibility	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Brasil	StdWorkHoursFlexibility	1	1	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Chile	StdWorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Colombia	StdWorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CostaRica	StdWorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DominicanRep	StdWorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Ecuador	StdWorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ElSalvador	StdWorkHoursFlexibility	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Guatemala	StdWorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Honduras	StdWorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Jamaica	StdWorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mexico	StdWorkHoursFlexibility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nicaragua	StdWorkHoursFlexibility	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Paraguay	StdWorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Peru	StdWorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TrinidadTobago	StdWorkHoursFlexibility	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uruguay	StdWorkHoursFlexibility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Venezuela	StdWorkHoursFlexibility	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Argentina	SocSecurityTax	0.54	0.54	0.54	0.54	0.55	0.55	0.55	0.54	0.54	0.55	0.5	0.49	0.49	0.49	0.49	0.49	0.49	0.33	0.4	0.4	0.4	0.4	0.4	0.4	0.4
Bolivia	SocSecurityTax	0.2	0.2	0.2	0.22	0.22	0.22	0.24	0.24	0.24	0.24	0.24	0.25	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23
Brasil	SocSecurityTax	0.32	0.32	0.32	0.32	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.34	0.34
Chile	SocSecurityTax	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22
Colombia	SocSecurityTax	0.21	0.21	0.21	0.21	0.23	0.28	0.28	0.28	0.29	0.28	0.3	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.36	0.36	0.37	0.38	0.38	0.38
CostaRica	SocSecurityTax	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35
DominicanRep	SocSecurityTax	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.19	0.2	0.21	0.22	0.23	0.21	0.22	0.23
Ecuador	SocSecurityTax	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19
ElSalvador	SocSecurityTax	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.14	0.14	0.14	0.19	0.17	0.19	0.2	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21
Guatemala	SocSecurityTax	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.17	0.17	0.17	0.17	0.17	0.17	0.17
Honduras	SocSecurityTax	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13
Jamaica	SocSecurityTax	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08
Mexico	SocSecurityTax	0.27	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.3	0.3	0.31	0.32	0.32	0.33	0.34	0.34	0.35	0.35	0.36	0.36	0.36
Nicaragua	SocSecurityTax	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22
