Country	Variable	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009
Honduras	FinLiberalIndex	0.48	0.48	0.49	0.48	0.47	0.48	0.47	0.72	0.73	0.72	0.72	0.71	0.68	0.81	0.82	0.84	0.85	0.84	0.84	0.84	0.84	0.96	0.97	0.97	0.97
Jamaica	FinLiberalIndex	0.6	0.57	0.59	0.58	0.57	0.66	0.68	0.79	0.79	0.79	0.79	0.8	0.79	0.79	0.94	0.93	0.94	0.94	0.94	0.96	0.97	0.97	0.97	0.96	0.95
Mexico	FinLiberalIndex	0.39	0.42	0.46	0.43	0.73	0.74	0.75	0.75	0.75	0.75	0.81	0.77	0.87	0.86	0.86	0.87	0.98	0.97	0.97	0.96	0.96	0.96	0.97	0.71	0.71
Nicaragua	FinLiberalIndex	0.41	0.43	0.42	0.33	0.41	0.34	0.53	0.56	0.67	0.68	0.68	0.81	0.81	0.82	0.83	0.84	0.82	0.82	0.81	0.82	0.81	0.92	0.93	0.93	0.91
Paraguay	FinLiberalIndex	0.36	0.35	0.34	0.35	0.38	0.67	0.68	0.67	0.67	0.67	0.67	0.67	0.67	0.66	0.66	0.66	0.65	0.64	0.63	0.88	0.89	0.9	0.89	0.88	0.88
Peru	FinLiberalIndex	0.34	0.37	0.39	0.4	0.44	0.66	0.68	0.66	0.79	0.79	0.79	0.91	0.91	0.93	0.94	0.94	0.93	0.93	0.94	0.91	0.89	0.9	0.89	0.89	0.91
TrinidadTobago	FinLiberalIndex	0.44	0.62	0.64	0.64	0.64	0.63	0.62	0.63	0.64	0.57	0.58	0.58	0.58	0.58	0.58	0.59	0.58	0.59	0.59	0.6	0.59	0.59	0.59	0.69	0.69
Uruguay	FinLiberalIndex	0.66	0.65	0.64	0.63	0.64	0.62	0.65	0.79	0.79	0.8	0.81	0.81	0.81	0.82	0.82	0.82	0.82	0.96	0.94	0.92	0.92	0.92	0.93	0.89	0.88
Venezuela	FinLiberalIndex	0.46	0.47	0.47	0.47	0.56	0.54	0.68	0.68	0.65	0.39	0.58	0.81	0.8	0.8	0.67	0.67	0.8	0.56	0.62	0.68	0.69	0.71	0.7	0.69	0.83
Argentina	ReserveRequirement	43.24	19.61	10.15	10.8	40.12	23.74	20.9	14.91	15.51	12.32	6.46	4.71	4.16	4.03	4.11	3.63	13.2	19.06	26.66	25.53	13.9	22.7	21.79	26.31	27.45
Bolivia	ReserveRequirement	86.41	35.73	14.74	23	32.74	24.86	22.11	16.6	17.81	11.76	13.05	17.76	18.92	6.61	6.61	8.06	6.01	6.14	5.6	7.16	7.37	8.09	8.28	9.49	12.02
Brasil	ReserveRequirement	6.05	18.69	73.43	8.97	5.44	71	40.29	9.07	8.45	17.16	11.08	8.56	13.36	10.44	8.8	6.69	7.27	13.6	11.21	11.38	10.58	10.34	10.74	6.07	5.65
Chile	ReserveRequirement	7.76	6.72	6.35	8.06	5.36	5.86	8.09	10.02	8.66	9.55	7.55	6.47	4.56	5.47	4.88	4.26	4.27	3.89	6.35	6.92	8.08	9.44	5.38	5.51	6.4
Colombia	ReserveRequirement	23.76	24.47	27.75	28.29	29.13	16.1	17.91	18.19	18.27	14.99	13.87	11.3	11.13	5.83	8.22	7.26	11.22	12.15	12.3	11.95	11.4	10.29	13.66	16.13	19.04
CostaRica	ReserveRequirement	36.71	36.89	37.83	42.08	41.93	42.85	50.64	45.26	42.77	44.39	50.87	41.08	35.43	39.53	33.91	28.06	21.3	19.23	24.15	24.55	29.43	36.72	36.36	37.82	36.75
DominicanRep	ReserveRequirement	27.61	38.13	24.75	38.9	35.4	33.93	40.02	32.55	32.01	29.42	28.97	24.59	23.71	25.8	22.44	27.92	31.64	25.85	38.59	35.75	37.4	38.49	38.07	41.73	36.06
Ecuador	ReserveRequirement	24.14	26.1	23.8	26.02	26.9	18.64	18.21	18.2	15.78	10.65	10.17	10.77	10.31	14.76	9.75	7.1	5.4	6.94	4.62	4.62	5.19	5.43	5.98	8.64	9.06
ElSalvador	ReserveRequirement	23.29	16.63	22.83	26.3	24.14	27.19	25.84	23.6	27.42	27.79	27.49	26.45	26.41	26.45	27.11	14.02	14.21	13.06	17.93	15.08	14.69	13.36	15.06	16.66	16.68
Guatemala	ReserveRequirement	23.99	26.17	19.99	21.65	21.02	22.12	21.4	16.28	21.48	17.36	14.71	17.09	33.9	23.9	15.18	18.92	16.62	22.22	12.45	13.29	12.66	13.94	13.45	12.71	12.99
Honduras	ReserveRequirement	10.29	9.25	7.2	9.4	11.55	9.84	12.78	14.11	9.16	11.84	13.87	16.22	26.52	25.85	20.32	13.7	12.33	14.91	13.74	13.69	14.21	14.27	14.13	13.19	14.14
Jamaica	ReserveRequirement	24.61	34.57	28.14	31.69	33.97	32.07	27.38	32.56	31.18	30.88	32.19	27.19	29.64	29.51	23.56	24.62	23.62	22.39	21.48	15.32	12.75	12.28	11.63	16.11	18.34
Mexico	ReserveRequirement	38.81	29.56	16.7	25.9	9.23	5.19	3.79	3.23	2.46	2.89	23.3	37.55	4.18	6.05	8.29	5.59	8.08	12.37	13.64	14.86	16.26	15.46	13.75	15.36	15.07
Nicaragua	ReserveRequirement	32.09	24.74	29.95	60.92	32.1	57	48.83	37.96	29.74	26.6	27.12	25.72	22.77	20.24	16.39	15.87	22.4	22.19	23.5	22.59	23.33	30.07	25.84	27.64	31.42
Paraguay	ReserveRequirement	48.96	53.63	57.07	53.77	42.37	30.6	27.52	29.08	28.27	28.1	29.62	29.91	29.19	32.57	32.66	33.44	35.65	37.93	44.37	43.43	38.32	36.23	38.72	41.52	44.29
Peru	ReserveRequirement	56.62	46	40.58	37.54	23.25	31.1	25.84	31.65	30.15	30.48	30.76	33.14	32.11	24.99	23.93	23.92	24.8	25.55	23.71	24.44	31.96	28.11	31.28	32.62	26.4
TrinidadTobago	ReserveRequirement	21.83	16.82	10.48	11.05	12.85	13.61	17.06	16.09	12.5	20.26	18.89	16.1	16.96	16.68	15.93	14.86	16.92	14.48	14.87	12.03	13.43	14.46	14.58	21.14	21.03
Uruguay	ReserveRequirement	33.74	37.56	39.34	41.38	40.46	44.86	35.16	32.09	31.64	26.44	23.7	24	22.66	19.89	21.11	21.21	21.53	16.5	23.07	27.77	30.8	29.31	25.48	37.79	41.32
Venezuela	ReserveRequirement	15.41	13.22	11.74	12.75	11.4	17.7	27.38	26.33	21.85	18.21	16.22	24.37	26.55	29.07	30.53	29.46	28.59	25.11	24.01	24.94	22.05	28.34	33.8	34.97	31.37
Argentina	StdReserveRequirement	0.51	0.8	0.91	0.9	0.55	0.75	0.78	0.85	0.84	0.88	0.95	0.97	0.98	0.98	0.98	0.99	0.87	0.8	0.71	0.73	0.86	0.76	0.77	0.72	0.7
Bolivia	StdReserveRequirement	0	0.6	0.85	0.76	0.64	0.73	0.77	0.83	0.82	0.89	0.87	0.82	0.8	0.95	0.95	0.93	0.96	0.96	0.96	0.94	0.94	0.93	0.93	0.92	0.89
Brasil	StdReserveRequirement	0.96	0.81	0.15	0.92	0.96	0.18	0.55	0.92	0.93	0.82	0.9	0.93	0.87	0.9	0.92	0.95	0.94	0.87	0.9	0.89	0.9	0.91	0.9	0.96	0.96
Chile	StdReserveRequirement	0.94	0.95	0.95	0.93	0.97	0.96	0.93	0.91	0.93	0.92	0.94	0.95	0.98	0.96	0.97	0.98	0.98	0.98	0.95	0.95	0.93	0.92	0.97	0.96	0.95
Colombia	StdReserveRequirement	0.75	0.74	0.7	0.69	0.68	0.84	0.82	0.81	0.81	0.85	0.86	0.89	0.9	0.96	0.93	0.94	0.9	0.88	0.88	0.89	0.89	0.91	0.87	0.84	0.8
CostaRica	StdReserveRequirement	0.59	0.59	0.58	0.53	0.53	0.52	0.43	0.49	0.52	0.5	0.42	0.54	0.61	0.56	0.63	0.7	0.78	0.8	0.74	0.74	0.68	0.59	0.6	0.58	0.59
DominicanRep	StdReserveRequirement	0.7	0.58	0.73	0.57	0.61	0.63	0.55	0.64	0.65	0.68	0.68	0.74	0.75	0.72	0.76	0.7	0.65	0.72	0.57	0.6	0.58	0.57	0.58	0.53	0.6
Ecuador	StdReserveRequirement	0.74	0.72	0.75	0.72	0.71	0.81	0.81	0.81	0.84	0.9	0.91	0.9	0.91	0.85	0.91	0.94	0.96	0.95	0.97	0.97	0.97	0.96	0.96	0.93	0.92
ElSalvador	StdReserveRequirement	0.75	0.83	0.76	0.72	0.74	0.71	0.72	0.75	0.7	0.7	0.7	0.71	0.71	0.71	0.71	0.86	0.86	0.87	0.82	0.85	0.85	0.87	0.85	0.83	0.83
Guatemala	StdReserveRequirement	0.74	0.72	0.79	0.77	0.78	0.77	0.77	0.84	0.77	0.82	0.85	0.83	0.63	0.74	0.85	0.8	0.83	0.76	0.88	0.87	0.88	0.86	0.87	0.88	0.87
Honduras	StdReserveRequirement	0.91	0.92	0.94	0.92	0.89	0.91	0.88	0.86	0.92	0.89	0.86	0.84	0.71	0.72	0.79	0.87	0.88	0.85	0.87	0.87	0.86	0.86	0.86	0.87	0.86
Jamaica	StdReserveRequirement	0.74	0.62	0.69	0.65	0.62	0.65	0.7	0.64	0.66	0.66	0.65	0.71	0.68	0.68	0.75	0.74	0.75	0.76	0.77	0.85	0.88	0.88	0.89	0.84	0.81
Mexico	StdReserveRequirement	0.57	0.68	0.83	0.72	0.92	0.97	0.98	0.99	1	0.99	0.75	0.58	0.98	0.96	0.93	0.96	0.93	0.88	0.87	0.85	0.84	0.85	0.87	0.85	0.85
Nicaragua	StdReserveRequirement	0.65	0.73	0.67	0.3	0.65	0.35	0.45	0.58	0.68	0.71	0.71	0.72	0.76	0.79	0.83	0.84	0.76	0.76	0.75	0.76	0.75	0.67	0.72	0.7	0.65
Paraguay	StdReserveRequirement	0.45	0.39	0.35	0.39	0.52	0.66	0.7	0.68	0.69	0.69	0.68	0.67	0.68	0.64	0.64	0.63	0.6	0.58	0.5	0.51	0.57	0.6	0.57	0.53	0.5
Peru	StdReserveRequirement	0.35	0.48	0.55	0.58	0.75	0.66	0.72	0.65	0.67	0.67	0.66	0.63	0.65	0.73	0.74	0.74	0.73	0.72	0.75	0.74	0.65	0.69	0.66	0.64	0.71
TrinidadTobago	StdReserveRequirement	0.77	0.83	0.9	0.9	0.88	0.87	0.83	0.84	0.88	0.79	0.8	0.84	0.83	0.83	0.84	0.85	0.83	0.86	0.85	0.89	0.87	0.86	0.86	0.78	0.78
Uruguay	StdReserveRequirement	0.63	0.58	0.56	0.54	0.55	0.49	0.61	0.65	0.65	0.71	0.75	0.74	0.76	0.79	0.78	0.78	0.77	0.83	0.75	0.7	0.66	0.68	0.73	0.58	0.54
Venezuela	StdReserveRequirement	0.85	0.87	0.89	0.88	0.89	0.82	0.7	0.72	0.77	0.81	0.84	0.74	0.71	0.68	0.67	0.68	0.69	0.73	0.74	0.73	0.77	0.69	0.63	0.61	0.66
Argentina	InterestRateLiberalization	0	0	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Bolivia	InterestRateLiberalization	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Brasil	InterestRateLiberalization	0	0	0	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Chile	InterestRateLiberalization	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Colombia	InterestRateLiberalization	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
CostaRica	InterestRateLiberalization	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
DominicanRep	InterestRateLiberalization	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Ecuador	InterestRateLiberalization	0	1	1	0	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0
ElSalvador	InterestRateLiberalization	0	0	0	0	0	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Guatemala	InterestRateLiberalization	0	0	0	0	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Honduras	InterestRateLiberalization	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Jamaica	InterestRateLiberalization	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Mexico	InterestRateLiberalization	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Nicaragua	InterestRateLiberalization	0	0	0	0	0	0	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Paraguay	InterestRateLiberalization	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Peru	InterestRateLiberalization	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
TrinidadTobago	InterestRateLiberalization	0	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Uruguay	InterestRateLiberalization	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Venezuela	InterestRateLiberalization	0	0	0	0	1	1	3	3	1	0	0	3	3	3	3	3	3	3	3	3	3	2	2	2	2
Argentina	StdInterestRateLiberalization	0	0	0.67	0.67	0.67	0.67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Bolivia	StdInterestRateLiberalization	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Brasil	StdInterestRateLiberalization	0	0	0	0.33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Chile	StdInterestRateLiberalization	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Colombia	StdInterestRateLiberalization	0.33	0.33	0.33	0.33	0.33	0.33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CostaRica	StdInterestRateLiberalization	0.33	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67
DominicanRep	StdInterestRateLiberalization	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Ecuador	StdInterestRateLiberalization	0	0.33	0.33	0	0.33	0.33	0.33	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
ElSalvador	StdInterestRateLiberalization	0	0	0	0	0	0.33	0.33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Guatemala	StdInterestRateLiberalization	0	0	0	0	0.33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Honduras	StdInterestRateLiberalization	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Jamaica	StdInterestRateLiberalization	0.67	0.67	0.67	0.67	0.67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mexico	StdInterestRateLiberalization	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Nicaragua	StdInterestRateLiberalization	0	0	0	0	0	0	0.67	0.67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Paraguay	StdInterestRateLiberalization	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Peru	StdInterestRateLiberalization	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TrinidadTobago	StdInterestRateLiberalization	0	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uruguay	StdInterestRateLiberalization	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Venezuela	StdInterestRateLiberalization	0	0	0	0	0.33	0.33	1	1	0.33	0	0	1	1	1	1	1	1	1	1	1	1	0.67	0.67	0.67	0.67
Argentina	FinancialTransactionTax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
Bolivia	FinancialTransactionTax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.25	0.15	0.15	0.15	0.15
Brasil	FinancialTransactionTax	0	0	0	0	0	0	0	0	0	0.25	0	0	0.2	0.2	0.38	0.38	0.3	0.38	0.38	0.38	0.38	0.38	0.38	0	0
Chile	FinancialTransactionTax	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.25
Colombia	FinancialTransactionTax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.2	0.3	0.3	0.3	0.4	0.4	0.4	0.4	0.4	0.4
CostaRica	FinancialTransactionTax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DominicanRep	FinancialTransactionTax	0	0	0	0	0	0	0	0	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15
Ecuador	FinancialTransactionTax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.8	0	0	0	0	0	0	0	0	0
ElSalvador	FinancialTransactionTax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guatemala	FinancialTransactionTax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Honduras	FinancialTransactionTax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jamaica	FinancialTransactionTax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mexico	FinancialTransactionTax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
Nicaragua	FinancialTransactionTax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraguay	FinancialTransactionTax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peru	FinancialTransactionTax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.08	0.08	0.08	0.07	0.06
TrinidadTobago	FinancialTransactionTax	0	0	0	0	0	0	0	0	0	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
Uruguay	FinancialTransactionTax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Venezuela	FinancialTransactionTax	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0.5	0.5	0	1	0.75	0.5	0.5	0	0	0	0
Argentina	StdFinancialTransactionTax	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4
Bolivia	StdFinancialTransactionTax	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7	0.75	0.85	0.85	0.85	0.85
Brasil	StdFinancialTransactionTax	1	1	1	1	1	1	1	1	1	0.75	1	1	0.8	0.8	0.62	0.62	0.7	0.62	0.62	0.62	0.62	0.62	0.62	1	1
Chile	StdFinancialTransactionTax	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.75
Colombia	StdFinancialTransactionTax	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8	0.8	0.7	0.7	0.7	0.6	0.6	0.6	0.6	0.6	0.6
CostaRica	StdFinancialTransactionTax	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DominicanRep	StdFinancialTransactionTax	1	1	1	1	1	1	1	1	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85
Ecuador	StdFinancialTransactionTax	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0.2	1	1	1	1	1	1	1	1	1
ElSalvador	StdFinancialTransactionTax	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Guatemala	StdFinancialTransactionTax	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Honduras	StdFinancialTransactionTax	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Jamaica	StdFinancialTransactionTax	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mexico	StdFinancialTransactionTax	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Nicaragua	StdFinancialTransactionTax	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Paraguay	StdFinancialTransactionTax	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Peru	StdFinancialTransactionTax	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9	0.92	0.92	0.92	0.93	0.94
TrinidadTobago	StdFinancialTransactionTax	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uruguay	StdFinancialTransactionTax	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Venezuela	StdFinancialTransactionTax	1	1	1	1	1	1	1	1	1	0.25	1	1	1	1	0.5	0.5	1	0	0.25	0.5	0.5	1	1	1	1
Argentina	BankSupervQuality	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2
Bolivia	BankSupervQuality	0	0	0	0	0	0	0	0	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2
Brasil	BankSupervQuality	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	2	2	2	2	2	2	2
Chile	BankSupervQuality	0	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
Colombia	BankSupervQuality	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2
CostaRica	BankSupervQuality	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DominicanRep	BankSupervQuality	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	2	2	2	2	2	2
Ecuador	BankSupervQuality	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	2
ElSalvador	BankSupervQuality	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2
Guatemala	BankSupervQuality	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2
Honduras	BankSupervQuality	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	2	2	2	2
Jamaica	BankSupervQuality	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2
Mexico	BankSupervQuality	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2
Nicaragua	BankSupervQuality	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2
Paraguay	BankSupervQuality	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2
Peru	BankSupervQuality	0	0	0	0	0	0	0	0	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
TrinidadTobago	BankSupervQuality	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
Uruguay	BankSupervQuality	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2
Venezuela	BankSupervQuality	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
Argentina	StdBankSupervQuality	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	1	1	1	1
Bolivia	StdBankSupervQuality	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	1	1	0.5	1	1	1	1	1	1	1	1	1
Brasil	StdBankSupervQuality	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	1	1	1	1	1
Chile	StdBankSupervQuality	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1
