"country"	"year"	"policy.index"
"Colombia"	2014	0.4373845
"CostaRica"	1985	-1.947985
"CostaRica"	1986	-1.03
"CostaRica"	1987	-0.762132
"CostaRica"	1988	-0.723591
"CostaRica"	1989	-0.749842
"CostaRica"	1990	-0.738557
"CostaRica"	1991	-0.6604445
"CostaRica"	1992	-0.6406995
"CostaRica"	1993	-0.281712
"CostaRica"	1994	-0.1329045
"CostaRica"	1995	-0.0657845
"CostaRica"	1996	-0.4188045
"CostaRica"	1997	-0.402049
"CostaRica"	1998	-0.3471405
"CostaRica"	1999	-0.0175342
"CostaRica"	2000	0.2457525
"CostaRica"	2001	0.238409
"CostaRica"	2002	0.2396575
"CostaRica"	2003	0.225373
"CostaRica"	2004	0.2527835
"CostaRica"	2005	0.2428155
"CostaRica"	2006	0.261877
"CostaRica"	2007	0.269711
"CostaRica"	2008	0.2455165
"CostaRica"	2009	0.254958
"CostaRica"	2010	0.706343
"CostaRica"	2011	0.705379
"CostaRica"	2012	0.695548
"CostaRica"	2013	0.7102735
"CostaRica"	2014	0.778878
"Ecuador"	1985	-1.453885
"Ecuador"	1986	-1.77535
"Ecuador"	1987	-1.79334
"Ecuador"	1988	-1.919385
"Ecuador"	1989	-1.73973
"Ecuador"	1990	-1.341485
"Ecuador"	1991	-1.3996
"Ecuador"	1992	-0.2843855
"Ecuador"	1993	0.1304565
"Ecuador"	1994	-0.198836
"Ecuador"	1995	-0.150847
"Ecuador"	1996	-0.1646235
"Ecuador"	1997	-0.1785925
"Ecuador"	1998	-0.09704555
"Ecuador"	1999	-0.04158995
"Ecuador"	2000	-0.09701215
"Ecuador"	2001	0.1129645
"Ecuador"	2002	0.06411695
"Ecuador"	2003	0.0512003
"Ecuador"	2004	0.284123
"Ecuador"	2005	0.0607654
"Ecuador"	2006	0.04610785
"Ecuador"	2007	0.01987365
"Ecuador"	2008	0.04346195
"Ecuador"	2009	-0.276294
"Ecuador"	2010	0.3761445
"Ecuador"	2011	0.09135265
"Ecuador"	2012	0.0831096
"Ecuador"	2013	-0.364428
"Ecuador"	2014	0.107499
"ElSalvador"	1985	-1.618335
"ElSalvador"	1986	-1.26752
"ElSalvador"	1987	-1.083745
"ElSalvador"	1988	-1.062485
"ElSalvador"	1989	-1.10193
"ElSalvador"	1990	-0.965593
"ElSalvador"	1991	-0.984251
"ElSalvador"	1992	-0.662718
"ElSalvador"	1993	-0.304253
"ElSalvador"	1994	0.09366
"ElSalvador"	1995	0.136232
"ElSalvador"	1996	0.3562925
"ElSalvador"	1997	0.3658555
"ElSalvador"	1998	0.6382015
"ElSalvador"	1999	0.6152815
"ElSalvador"	2000	0.7189385
"ElSalvador"	2001	0.51806
"ElSalvador"	2002	0.520014
"ElSalvador"	2003	0.513134
"ElSalvador"	2004	0.569122
"ElSalvador"	2005	0.7174625
"ElSalvador"	2006	0.7150245
"ElSalvador"	2007	0.7108665
"ElSalvador"	2008	0.6828835
"ElSalvador"	2009	0.709572
"ElSalvador"	2010	0.530172
"ElSalvador"	2011	0.5234425
"ElSalvador"	2012	0.5427905
"ElSalvador"	2013	0.5510445
"ElSalvador"	2014	0.583788
"Guatemala"	1985	-2.12563
"Guatemala"	1986	-2.12267
"Guatemala"	1987	-1.47313
"Guatemala"	1988	-1.133505
"Guatemala"	1989	-0.5113725
"Guatemala"	1990	-0.214198
"Guatemala"	1991	-0.2248135
"Guatemala"	1992	-0.1656715
"Guatemala"	1993	-0.200232
"Guatemala"	1994	0.447424
"Guatemala"	1995	0.494876
"Guatemala"	1996	0.560626
"Guatemala"	1997	0.4316675
"Guatemala"	1998	0.6978265
"Guatemala"	1999	0.762044
"Guatemala"	2000	0.632048
"Guatemala"	2001	0.6862775
"Guatemala"	2002	0.6405475
"Guatemala"	2003	0.7040015
"Guatemala"	2004	0.6701185
"Guatemala"	2005	0.665485
"Guatemala"	2006	0.680013
"Guatemala"	2007	0.916035
"Guatemala"	2008	0.8973625
"Guatemala"	2009	0.87578
"Guatemala"	2010	0.835039
"Guatemala"	2011	0.7905745
"Guatemala"	2012	0.8413595
"Guatemala"	2013	1.201035
"Guatemala"	2014	1.16618
"Honduras"	1985	-1.96081
"Honduras"	1986	-1.95122
"Honduras"	1987	-1.92988
"Honduras"	1988	-1.451415
"Honduras"	1989	-1.487475
"Honduras"	1990	-1.458405
"Honduras"	1991	-1.476245
"Honduras"	1992	-0.965645
"Honduras"	1993	-0.6607215
"Honduras"	1994	-0.582575
"Honduras"	1995	-0.131949
"Honduras"	1996	-0.3417205
"Honduras"	1997	-0.4883175
"Honduras"	1998	-0.3822455
"Honduras"	1999	0.0826008
"Honduras"	2000	0.203357
"Honduras"	2001	0.381668
"Honduras"	2002	0.35073
"Honduras"	2003	0.4155445
"Honduras"	2004	0.3618145
"Honduras"	2005	0.3446385
"Honduras"	2006	0.368513
"Honduras"	2007	0.4155035
"Honduras"	2008	0.6284285
"Honduras"	2009	0.5552495
"Honduras"	2010	0.1294915
"Honduras"	2011	0.1091755
"Honduras"	2012	0.04596555
"Honduras"	2013	0.152854
"Honduras"	2014	-0.328408
"Mexico"	1985	-1.967915
"Mexico"	1986	-1.89441
"Mexico"	1987	-1.215625
"Mexico"	1988	-1.048515
"Mexico"	1989	-0.5280785
"Mexico"	1990	-0.08409495
"Mexico"	1991	0.0737131
"Mexico"	1992	0.03120105
"Mexico"	1993	0.250295
"Mexico"	1994	0.280561
"Mexico"	1995	-0.174096
"Mexico"	1996	-0.2462065
"Mexico"	1997	-0.120912
"Mexico"	1998	-0.0568307
"Mexico"	1999	-0.0628843
"Mexico"	2000	0.09954915
"Mexico"	2001	0.0908995
"Mexico"	2002	-0.0938494
"Mexico"	2003	-0.0907747
"Mexico"	2004	0.0473046
"Mexico"	2005	-0.0641047
"Mexico"	2006	0.18081
"Mexico"	2007	-0.05180595
"Mexico"	2008	0.0174472
"Mexico"	2009	0.0259072
"Mexico"	2010	0.6577485
"Mexico"	2011	0.570386
"Mexico"	2012	0.6201275
"Mexico"	2013	0.58037
"Mexico"	2014	0.5974145
"Nicaragua"	1985	-2.170915
"Nicaragua"	1986	-2.04604
"Nicaragua"	1987	-1.028535
"Nicaragua"	1988	-1.857475
"Nicaragua"	1989	-1.638035
"Nicaragua"	1990	-0.213684
"Nicaragua"	1991	-1.61911
"Nicaragua"	1992	-1.058445
"Nicaragua"	1993	-0.310424
"Nicaragua"	1994	-0.2646265
"Nicaragua"	1995	0.1434605
"Nicaragua"	1996	0.485554
"Nicaragua"	1997	0.7544765
"Nicaragua"	1998	0.462017
"Nicaragua"	1999	0.585055
"Nicaragua"	2000	0.772302
"Nicaragua"	2001	0.682305
"Nicaragua"	2002	0.649743
"Nicaragua"	2003	0.652625
"Nicaragua"	2004	0.6603635
"Nicaragua"	2005	0.662078
"Nicaragua"	2006	0.630568
"Nicaragua"	2007	0.870463
"Nicaragua"	2008	0.8564615
"Nicaragua"	2009	0.831642
"Nicaragua"	2010	0.9849575
"Nicaragua"	2011	0.94626
"Nicaragua"	2012	0.953575
"Nicaragua"	2013	0.949717
"Nicaragua"	2014	0.7300325
"Panama"	1985	-0.0798104
"Panama"	1986	-0.0758694
"Panama"	1987	-0.0713248
"Panama"	1988	-0.09060955
"Panama"	1989	-0.0827322
"Panama"	1990	-0.07125665
"Panama"	1991	-0.116165
"Panama"	1992	-0.08559535
"Panama"	1993	-0.08406425
"Panama"	1994	0.676586
"Panama"	1995	0.8579615
"Panama"	1996	0.752293
"Panama"	1997	0.285801
"Panama"	1998	0.8833915
"Panama"	1999	0.6947845
"Panama"	2000	0.797856
"Panama"	2001	0.542648
"Panama"	2002	0.5664515
"Panama"	2003	0.5196005
"Panama"	2004	0.5204745
"Panama"	2005	0.481357
"Panama"	2006	0.499426
"Panama"	2007	0.6095475
"Panama"	2008	0.5727145
"Panama"	2009	0.5201015
"Panama"	2010	0.7039495
"Panama"	2011	0.827582
"Panama"	2012	0.7803495
"Panama"	2013	0.896103
"Panama"	2014	0.5049455
"Paraguay"	1985	-1.972515
"Paraguay"	1986	-1.17301
"Paraguay"	1987	-1.308695
"Paraguay"	1988	-1.20299
"Paraguay"	1989	-1.3616
"Paraguay"	1990	-0.757539
"Paraguay"	1991	-0.210963
"Paraguay"	1992	0.280521
"Paraguay"	1993	0.283941
"Paraguay"	1994	0.2654365
"Paraguay"	1995	0.330663
"Paraguay"	1996	-0.235749
"Paraguay"	1997	-0.01211
"Paraguay"	1998	-0.0312739
"Paraguay"	1999	0.16858
"Paraguay"	2000	0.1447625
"Paraguay"	2001	0.0954864
"Paraguay"	2002	0.1235505
"Paraguay"	2003	0.115845
"Paraguay"	2004	0.121365
"Paraguay"	2005	0.777232
"Paraguay"	2006	0.974928
"Paraguay"	2007	0.9676765
"Paraguay"	2008	0.9732755
"Paraguay"	2009	0.694818
"Paraguay"	2010	0.7495515
"Paraguay"	2011	0.741521
"Paraguay"	2012	0.9439895
"Paraguay"	2013	0.943661
"Paraguay"	2014	1.047695
"Peru"	1985	-2.840025
"Peru"	1986	-2.867995
"Peru"	1987	-2.516235
"Peru"	1988	-2.516385
"Peru"	1989	-2.50924
"Peru"	1990	-0.9536125
"Peru"	1991	-0.9318025
"Peru"	1992	0.0894107
"Peru"	1993	0.1983175
"Peru"	1994	0.2381755
"Peru"	1995	0.303504
"Peru"	1996	0.515427
"Peru"	1997	0.4187045
"Peru"	1998	0.4724275
"Peru"	1999	0.5501385
"Peru"	2000	0.562025
"Peru"	2001	0.4987815
"Peru"	2002	0.9966025
"Peru"	2003	1.044375
"Peru"	2004	0.851469
"Peru"	2005	0.8413115
"Peru"	2006	0.8897715
"Peru"	2007	0.903354
"Peru"	2008	0.773324
"Peru"	2009	0.8973605
"Peru"	2010	0.764873
"Peru"	2011	0.667651
"Peru"	2012	0.5918475
"Peru"	2013	0.7689915
"Peru"	2014	0.828115
"DominicanRep"	1985	-2.127285
"DominicanRep"	1986	-2.114625
"DominicanRep"	1987	-1.94349
"DominicanRep"	1988	-1.975135
"DominicanRep"	1989	-2.558865
"DominicanRep"	1990	-1.512825
"DominicanRep"	1991	-1.133505
"DominicanRep"	1992	-0.759856
"DominicanRep"	1993	-0.761163
"DominicanRep"	1994	-0.5082655
"DominicanRep"	1995	-0.13573
"DominicanRep"	1996	-0.3687005
"DominicanRep"	1997	-0.342355
"DominicanRep"	1998	-0.379147
"DominicanRep"	1999	-0.330296
"DominicanRep"	2000	-0.0540183
"DominicanRep"	2001	0.2992535
"DominicanRep"	2002	0.426512
"DominicanRep"	2003	0.3258115
"DominicanRep"	2004	0.254783
"DominicanRep"	2005	0.499197
"DominicanRep"	2006	0.5200785
"DominicanRep"	2007	0.5144515
"DominicanRep"	2008	0.5105625
"DominicanRep"	2009	0.516172
"DominicanRep"	2010	0.644764
"DominicanRep"	2011	0.657906
"DominicanRep"	2012	0.677908
"DominicanRep"	2013	0.623508
"DominicanRep"	2014	0.426344
"Uruguay"	1985	0.368711
"Uruguay"	1986	-0.05074995
"Uruguay"	1987	0.403216
"Uruguay"	1988	0.391438
"Uruguay"	1989	0.4420335
"Uruguay"	1990	0.6783115
"Uruguay"	1991	0.668234
"Uruguay"	1992	0.646281
"Uruguay"	1993	-0.02534755
"Uruguay"	1994	-0.00489628
"Uruguay"	1995	0.0601831
"Uruguay"	1996	0.240271
"Uruguay"	1997	0.2505845
"Uruguay"	1998	0.2536205
"Uruguay"	1999	0.253603
"Uruguay"	2000	0.315664
"Uruguay"	2001	0.2400785
"Uruguay"	2002	0.267569
"Uruguay"	2003	0.284964
"Uruguay"	2004	0.2631745
"Uruguay"	2005	0.665799
"Uruguay"	2006	0.679351
"Uruguay"	2007	0.575277
"Uruguay"	2008	0.5438115
"Uruguay"	2009	0.5418605
"Uruguay"	2010	0.954164
"Uruguay"	2011	0.9373155
"Uruguay"	2012	0.8925495
"Uruguay"	2013	0.87306
"Uruguay"	2014	0.804904
"Venezuela"	1985	-2.105835
"Venezuela"	1986	-2.117065
"Venezuela"	1987	-2.116245
"Venezuela"	1988	-2.117525
"Venezuela"	1989	-1.87275
"Venezuela"	1990	-1.083465
"Venezuela"	1991	-0.770214
"Venezuela"	1992	-0.5001525
"Venezuela"	1993	-0.7844215
"Venezuela"	1994	-0.7697105
"Venezuela"	1995	-0.795762
"Venezuela"	1996	0.001499125
"Venezuela"	1997	0.1512215
"Venezuela"	1998	0.1590735
"Venezuela"	1999	0.2073725
"Venezuela"	2000	0.209456
"Venezuela"	2001	0.1629215
"Venezuela"	2002	0.03070655
"Venezuela"	2003	0.0406719
"Venezuela"	2004	0.0685951
"Venezuela"	2005	0.0568096
"Venezuela"	2006	-0.4512505
"Venezuela"	2007	-0.4497015
"Venezuela"	2008	-0.470406
"Venezuela"	2009	-0.4516695
"Venezuela"	2010	-0.748968
"Venezuela"	2011	-0.6758305
"Venezuela"	2012	-0.6652525
"Venezuela"	2013	-0.700709
"Venezuela"	2014	-0.7875225
