country	year	temp	temp2	VRR	VRL	merge.with
PANAMA	1999	13.80941	1	13.80941	7.190589	Panama-1999
PANAMA	2004	13.89756	1	13.89756	7.102445	Panama-2004
PANAMA	2009	15.34425	1	15.34425	5.655746	Panama-2009
PANAMA	2014	15.40555	0.98632	15.61922	5.380779	
PARAGUAY	1993	14.27703	0.99274	14.38144	6.618562	Paraguay-1993
PARAGUAY	1998	14.50841	0.9923	14.621	6.379004	Paraguay-1998
PARAGUAY	2003	14.8835	0.995	14.95829	6.041709	Paraguay-2003
PARAGUAY	2008	11.55263	0.99344	11.62891	9.371087	Paraguay-2008
PARAGUAY	2013	13.05764	0.98474	13.25999	7.740007	
PERU	1995	12.43413	0.9724	12.78705	8.212952	Peru-1995
PERU	2001	12.72028	0.984	12.92711	8.072886	Peru-2001
PERU	2006	10.82353	0.9955	10.87246	10.12754	Peru-2006
PERU	2011	10.27636	0.8701	11.81055	9.189452	
URUGUAY	1994	10.59029	0.9666	10.95622	10.04378	Uruguay-1995
URUGUAY	1999	10.2215	1	10.2215	10.7785	Uruguay-2000
URUGUAY	2004	9.940355	0.996	9.980276	11.01972	Uruguay-2005
URUGUAY	2009	9.444904	0.99999	9.444999	11.555	Uruguay-2009
VENEZUELA	1993	12.30456	0.9873	12.46284	8.53716	Venezuela-1993
VENEZUELA	1998	7.711708	0.99084	7.783	13.217	
VENEZUELA	2000	4.85644	1	4.85644	16.14356	Venezuela-2000
VENEZUELA	2006	6.27776	0.9974	6.294125	14.70588	
VENEZUELA	2012	6.998105	0.9938	7.041764	13.95824	
VENEZUELA	2013	7.481165	0.9973	7.501419	13.49858	
