Country,Year,PartyCode,Term,CorrectTerm,PartyAcronym,Party,Seat.ShareLH,Seat.ShareUH,Ideology.Score,TermUpper,TermPres
Brasil,1998,15,1999-2003,1999-2003,PMDB,PMDB,0.161793372,0.333333333,11.5,1999-2003,1999-2003
Brasil,1998,22,1999-2003,1999-2003,PL,PL,0.023391813,0,14.8,1999-2003,1999-2003
Brasil,1998,23,1999-2003,1999-2003,PPS,PPS,0.005847953,0.012345679,10.4,1999-2003,1999-2003
Brasil,1998,25,1999-2003,1999-2003,PFL,PFL,0.204678363,0.24691358,17.3,1999-2003,1999-2003
Brasil,1998,40,1999-2003,1999-2003,PSB,PSB,0.037037037,0.037037037,7.5,1999-2003,1999-2003
Brasil,1998,45,1999-2003,1999-2003,PSDB,PSDB,0.192982456,0.197530864,13.5,1999-2003,1999-2003
Brasil,1998,65,1999-2003,1999-2003,PCDOB,PCDOB,0.013645224,0,5,1999-2003,1999-2003
Brasil,1998,88,1999-2003,1999-2003,Other,Otros Partidos,0.021442495,0,NA,1999-2003,1999-2003
Brasil,2002,1,2003-2007,2003-2007,PT,PT,0.1754,0.160493827,6.4,2003-2007,2003-2007
Brasil,2002,2,2003-2007,2003-2007,PMDB,PMDB,0.152,0.308641975,11.5,2003-2007,2003-2007
Brasil,2002,3,2003-2007,2003-2007,PFL,PFL,0.1228,0.172839506,17.3,2003-2007,2003-2007
Brasil,2002,4,2003-2007,2003-2007,PP,PP,0.1033,0,15,2003-2007,2003-2007
Brasil,2002,5,2003-2007,2003-2007,PTB,PTB,0.1014,0.061728395,13.6,2003-2007,2003-2007
Brasil,2002,6,2003-2007,2003-2007,PSDB,PSDB,0.0994,0.160493827,13.5,2003-2007,2003-2007
Brasil,2002,7,2003-2007,2003-2007,PL,PL,0.0877,0.049382716,14.8,2003-2007,2003-2007
Brasil,2002,8,2003-2007,2003-2007,PPS,PPS,0.0429,0,10.4,2003-2007,2003-2007
Brasil,2002,9,2003-2007,2003-2007,PSB,PSB,0.039,0.037037037,7.5,2003-2007,2003-2007
Brasil,2002,10,2003-2007,2003-2007,PDT,PDT,0.0234,0.049382716,8.4,2003-2007,2003-2007
Brasil,2002,11,2003-2007,2003-2007,PSC,PSC,0.0117,0,11.6,2003-2007,2003-2007
Brasil,2002,12,2003-2007,2003-2007,PV,PV,0.0117,0,7.4,2003-2007,2003-2007
Brasil,2002,13,2003-2007,2003-2007,PSOL,PSOL,0.0039,0,16.7,2003-2007,2003-2007
Brasil,2002,14,2003-2007,2003-2007,PRONA,PRONA,0.008,0,16.7,2003-2007,2003-2007
Brasil,2002,15,2003-2007,2003-2007,PCDOB,PCDOB,0.0175,0,5,2003-2007,2003-2007
Brasil,2002,88,2003-2007,2003-2007,Other,Otros Partidos,0.0353,0,NA,2003-2007,2003-2007
Brasil,2006,10,2007-2011,2007-2011,PRB,PRB,0.003898635,0.012345679,15,2007-2011,2007-2011
Brasil,2006,11,2007-2011,2007-2011,PP,PP,0.08187135,0.012345679,16.8,2007-2011,2007-2011
Brasil,2006,12,2007-2011,2007-2011,PDT,PDT,0.04678363,0.061728395,8.4,2007-2011,2007-2011
Brasil,2006,13,2007-2011,2007-2011,PT,PT,0.1617934,0.148148148,6.4,2007-2011,2007-2011
Brasil,2006,14,2007-2011,2007-2011,PTB,PTB,0.04288499,0.111111111,13.6,2007-2011,2007-2011
Brasil,2006,15,2007-2011,2007-2011,PMDB,PMDB,0.1734893,0.259259259,11.5,2007-2011,2007-2011
Brasil,2006,20,2007-2011,2007-2011,PSC,PSC,0.01754386,0.012345679,11.6,2007-2011,2007-2011
Brasil,2006,22,2007-2011,2007-2011,PR,PR,0.01754386,0.049382716,15.8,2007-2011,2007-2011
Brasil,2006,23,2007-2011,2007-2011,PPS,PPS,0.04093567,0,10.4,2007-2011,2007-2011
Brasil,2006,25,2007-2011,2007-2011,DEM,DEM,0.1267057,0.111111111,17.3,2007-2011,2007-2011
Brasil,2006,40,2007-2011,2007-2011,PSB,PSB,0.05263158,0.024691358,7.5,2007-2011,2007-2011
Brasil,2006,43,2007-2011,2007-2011,PV,PV,0.02534113,0.012345679,7.4,2007-2011,2007-2011
Brasil,2006,45,2007-2011,2007-2011,PSDB,PSDB,0.1267057,0.172839506,13.5,2007-2011,2007-2011
Brasil,2006,65,2007-2011,2007-2011,PCDOB,PCDOB,0.02534113,0,5,2007-2011,2007-2011
Brasil,2006,75,2007-2011,2007-2011,Other,Otros Partidos,0.056530065,0.012345679,NA,2007-2011,2007-2011
Brasil,2010,10,2011-2015,2011-2015,PRB,PRB,0.015,0.012345679,15,2011-2015,2011-2015
Brasil,2010,11,2011-2015,2011-2015,PP,PP,0.079,0.061728395,16.8,2011-2015,2011-2015
Brasil,2010,12,2011-2015,2011-2015,PDT,PDT,0.054,0.061728395,8.4,2011-2015,2011-2015
Brasil,2010,13,2011-2015,2011-2015,PT,PT,0.171,0.148148148,6.4,2011-2015,2011-2015
Brasil,2010,14,2011-2015,2011-2015,PTB,PTB,0.04,0.086419753,13.6,2011-2015,2011-2015
Brasil,2010,15,2011-2015,2011-2015,PMDB,PMDB,0.153,0.259259259,11.5,2011-2015,2011-2015
Brasil,2010,20,2011-2015,2011-2015,PSC,PSC,0.033,0.012345679,11.6,2011-2015,2011-2015
Brasil,2010,22,2011-2015,2011-2015,PR,PR,0.079,0.061728395,15.8,2011-2015,2011-2015
Brasil,2010,23,2011-2015,2011-2015,PPS,PPS,0.023,0,10.4,2011-2015,2011-2015
Brasil,2010,25,2011-2015,2011-2015,DEM,DEM,0.083,0.037037037,17.3,2011-2015,2011-2015
Brasil,2010,33,2011-2015,2011-2015,PMN,PMN,0.007,0,5.7,2011-2015,2011-2015
Brasil,2010,40,2011-2015,2011-2015,PSB,PSB,0.066,0.049382716,7.5,2011-2015,2011-2015
Brasil,2010,43,2011-2015,2011-2015,PV,PV,0.029,0.012345679,7.4,2011-2015,2011-2015
Brasil,2010,45,2011-2015,2011-2015,PSDB,PSDB,0.103,0.135802469,13.5,2011-2015,2011-2015
Brasil,2010,50,2011-2015,2011-2015,PSOL,PSOL,0.005,0.012345679,3,2011-2015,2011-2015
Brasil,2010,65,2011-2015,2011-2015,PCDOB,PCDOB,0.029,0.024691358,5,2011-2015,2011-2015
Brasil,2010,88,2011-2015,2011-2015,Other,Otros Partidos,0.06,0.024691358,NA,2011-2015,2011-2015
Chile,1993,1,1993-1997,1993-1997,DC,DC Democracia Cristiana,0.303278689,0.2222,10.1,1993-1997,1993-1997
Chile,1993,2,1993-1997,1993-1997,RN,RN Renovacion Nacional,0.245901639,0.2778,16.3,1993-1997,1993-1997
Chile,1993,3,1993-1997,1993-1997,UDI,UDI Union Democrata Independiente,0.12295082,0.1111,18.1,1993-1997,1993-1997
Chile,1993,4,1993-1997,1993-1997,PPD,PPD Partido Por la Democracia,0.12295082,0.1111,7.9,1993-1997,1993-1997
Chile,1993,5,1993-1997,1993-1997,PS,Partido Socialista,0.12295082,0.1667,5,1993-1997,1993-1997
Chile,1993,6,1993-1997,1993-1997,Other,Otros Partidos,0.081967213,0.1111,NA,1993-1997,1993-1997
Chile,1997,1,1997-2001,1997-2001,DC,DC Democracia Cristiana,0.319327731,0.5,10.1,1997-2001,1997-2001
Chile,1997,2,1997-2001,1997-2001,RN,RN Renovacion Nacional,0.193277311,0.1,16.3,1997-2001,1997-2001
Chile,1997,3,1997-2001,1997-2001,UDI,UDI Union Democrata Independiente,0.176470588,0.15,18.1,1997-2001,1997-2001
Chile,1997,4,1997-2001,1997-2001,PPD,PPD Partido Por la Democracia,0.142857143,0,7.9,1997-2001,1997-2001
Chile,1997,5,1997-2001,1997-2001,PS,Partido Socialista,0.092436975,0.05,5,1997-2001,1997-2001
Chile,1997,6,1997-2001,1997-2001,Other,Otros Partidos,0.075630252,0.2,NA,1997-2001,1997-2001
Chile,2001,1,2002-2006,2002-2006,DC,DC Democracia Cristiana,0.2,0.1111,10.1,2002-2006,2002-2006
Chile,2001,2,2002-2006,2002-2006,RN,RN Renovacion Nacional,0.175,0.2222,16.3,2002-2006,2002-2006
Chile,2001,3,2002-2006,2002-2006,UDI,UDI Union Democrata Independiente,0.3,0.1667,18.1,2002-2006,2002-2006
Chile,2001,4,2002-2006,2002-2006,PPD,PPD Partido Por la Democracia,0.175,0.1667,7.9,2002-2006,2002-2006
Chile,2001,5,2002-2006,2002-2006,PS,Partido Socialista,0.1,0.2222,5,2002-2006,2002-2006
Chile,2001,6,2002-2006,2002-2006,PRSD,PRSD Partido Radical Social Democrata,0.05,0,8,2002-2006,2002-2006
Chile,2005,1,2006-2010,2006-2010,DC,DC Democracia Cristiana,0.166666667,0.25,10.1,2006-2010,2006-2010
Chile,2005,2,2006-2010,2006-2010,RN,RN Renovacion Nacional,0.158333333,0.15,16.3,2006-2010,2006-2010
Chile,2005,3,2006-2010,2006-2010,UDI,UDI Union Democrata Independiente,0.275,0.25,18.1,2006-2010,2006-2010
Chile,2005,4,2006-2010,2006-2010,PPD,PPD Partido Por la Democracia,0.175,0.05,7.9,2006-2010,2006-2010
Chile,2005,5,2006-2010,2006-2010,PS,Partido Socialista,0.125,0.2,5,2006-2010,2006-2010
Chile,2005,6,2006-2010,2006-2010,PRSD,PRSD Partido Radical Social Democrata,0.058333333,0.05,8,2006-2010,2006-2010
Chile,2005,7,2006-2010,2006-2010,Other,Otros Partidos,0.041666667,0.05,NA,2006-2010,2006-2010
Chile,2010,1,2010-2014,2010-2014,UDI,UDI Union Democrata Independiente,0.308,0.1676,18.1,2010-2014,2010-2014
Chile,2010,2,2010-2014,2010-2014,DC,DC Democracia Cristiana,0.158,0.2222,10.1,2010-2014,2010-2014
Chile,2010,3,2010-2014,2010-2014,PPD,PPD Partido Por la Democracia,0.15,0.1667,7.9,2010-2014,2010-2014
Chile,2010,4,2010-2014,2010-2014,RN,RN Renovacion Nacional,0.15,0.3333,16.3,2010-2014,2010-2014
Chile,2010,5,2010-2014,2010-2014,PS,Partido Socialista,0.092,0.1111,5,2010-2014,2010-2014
Chile,2010,6,2010-2014,2010-2014,PRSD,PRSD Partido Radical Social Democrata,0.042,0,8,2010-2014,2010-2014
Chile,2010,7,2010-2014,2010-2014,Other,Otros Partidos,0.067,0,NA,2010-2014,2010-2014
Chile,2010,8,2010-2014,2010-2014,Independents,Independientes,0.033,0,NA,2010-2014,2010-2014
Colombia,1998,1,1998-2002,1998-2002,PL,Partido Liberal,0.518518519,0.549019608,9.1,1998-2002,1998-2002
Colombia,1998,2,1998-2002,1998-2002,PC,PC Partido Conservador,0.172839506,0.166666667,17.1,1998-2002,1998-2002
Colombia,1998,3,1998-2002,1998-2002,Coalicion,Coalicion,0.1304,0.254901961,NA,1998-2002,1998-2002
Colombia,1998,4,1998-2002,1998-2002,Other,Otros Partidos,0.178241975,0.029411765,NA,1998-2002,1998-2002
Colombia,2002,1,2002-2006,2002-2006,PL-U,PL-U Partido Liberal Uribista,0.3614,0.142156863,17.7,2002-2006,2002-2006
Colombia,2002,2,2002-2006,2002-2006,PL-O,PL-O Partido Liberal Oficialista,0.2952,0.142156863,9.1,2002-2006,2002-2006
Colombia,2002,3,2002-2006,2002-2006,PC,PC Partido Conservador,0.2892,0.12745098,17.1,2002-2006,2002-2006
Colombia,2002,8,2002-2006,2002-2006,Other,Otros Partidos,0.0542,0.588235294,NA,2002-2006,2002-2006
Colombia,2006,1,2006-2010,2006-2010,PL,PLC: PARTIDO LIBERAL COLOMBIANO,0.217,0.176470588,9.1,2006-2010,2006-2010
Colombia,2006,2,2006-2010,2006-2010,PC,PCC: PARTIDO CONSERVADOR COLOMBIANO,0.175,0.176470588,17.1,2006-2010,2006-2010
Colombia,2006,3,2006-2010,2006-2010,PD,PD: POLO DEMOCRATICO ALTERNATIVO,0.054,0.098039216,4.1,2006-2010,2006-2010
Colombia,2006,4,2006-2010,2006-2010,U,UN: PARTIDO SOCIAL DE UNIDAD NACIONAL,0.181,0.196078431,17.7,2006-2010,2006-2010
Colombia,2006,5,2006-2010,2006-2010,CR,CR: PARTIDO CAMBIO RADICAL,0.121,0.147058824,16.9,2006-2010,2006-2010
Colombia,2006,6,2006-2010,2006-2010,PCC,PCC: PARTIDO CONVERGENCIA CIUDADANA,0.048,0.068627451,16.2,2006-2010,2006-2010
Colombia,2006,7,2006-2010,2006-2010,ALAS,MOVIMIENTO EQUIPO ALAS COLOMBIA,0.042,0.049019608,17.6,2006-2010,2006-2010
Colombia,2006,8,2006-2010,2006-2010,Other,Otros Partidos,0.162,0.088235294,NA,2006-2010,2006-2010
Colombia,2010,1,2010-2014,2010-2014,U,UN: PARTIDO SOCIAL DE UNIDAD NACIONAL,0.2865854,0.274509804,17.7,2010-2014,2010-2014
Colombia,2010,2,2010-2014,2010-2014,PL,PLC: PARTIDO LIBERAL COLOMBIANO,0.2256098,0.166666667,9.1,2010-2014,2010-2014
Colombia,2010,3,2010-2014,2010-2014,PC,PCC: PARTIDO CONSERVADOR COLOMBIANO,0.2317073,0.215686275,17.1,2010-2014,2010-2014
Colombia,2010,4,2010-2014,2010-2014,CR,CR: PARTIDO CAMBIO RADICAL,0.09146341,0.078431373,16.9,2010-2014,2010-2014
Colombia,2010,5,2010-2014,2010-2014,PIN,PIN,0.07317073,0.088235294,16.7,2010-2014,2010-2014
Colombia,2010,6,2010-2014,2010-2014,PD,PD: POLO DEMOCRATICO ALTERNATIVO,0.02439024,0.078431373,4.1,2010-2014,2010-2014
Colombia,2010,7,2010-2014,2010-2014,Other,Otros Partidos,0.06707312,0.098039216,NA,2010-2014,2010-2014
Costa Rica,1994,1,1994-1998,1994-1998,PUSC,PUSC: PARTIDO UNIDAD SOCIAL CRISTIANA,0.438596491,NA,15,NA,1994-1998
Costa Rica,1994,2,1994-1998,1994-1998,PLN,PLN: PARTIDO LIBERACION NACIONAL,0.49122807,NA,12.5,NA,1994-1998
Costa Rica,1994,3,1994-1998,1994-1998,PFD,PFD: PARIDO FUERZA DEMOCRATICA,0.035087719,NA,5.7,NA,1994-1998
Costa Rica,1994,4,1994-1998,1994-1998,PAN,PAN: PARTIDO AGRARIO NACIONAL,0.01754386,NA,NA,NA,1994-1998
Costa Rica,1994,5,1994-1998,1994-1998,PUAG,PUAG: PARTIDO UNION AGRICOLA CARTAGINES,0.01754386,NA,NA,NA,1994-1998
Costa Rica,1998,1,1998-2002,1998-2002,PUSC,PUSC: PARTIDO UNIDAD SOCIAL CRISTIANA,0.473684211,NA,15,NA,1998-2002
Costa Rica,1998,2,1998-2002,1998-2002,PLN,PLN: PARTIDO LIBERACION NACIONAL,0.403508772,NA,12.5,NA,1998-2002
Costa Rica,1998,3,1998-2002,1998-2002,Other,Otros Partidos,0.123,NA,NA,NA,1998-2002
Costa Rica,2002,1,2002-2006,2002-2006,PUSC,PUSC: PARTIDO UNIDAD SOCIAL CRISTIANA,0.333333333,NA,15,NA,2002-2006
Costa Rica,2002,2,2002-2006,2002-2006,PLN,PLN: PARTIDO LIBERACION NACIONAL,0.298245614,NA,12.5,NA,2002-2006
Costa Rica,2002,3,2002-2006,2002-2006,PAC,PAC: PARTIDO DE ACCION CIUDADANA,0.245614035,NA,6.6,NA,2002-2006
Costa Rica,2002,4,2002-2006,2002-2006,ML,MOVIMIENTO LIBERTARIO,0.105263158,NA,19,NA,2002-2006
Costa Rica,2002,5,2002-2006,2002-2006,PRC,PARTIDO RENOVACION COSTARRICENSE,0.01754386,NA,13.9,NA,2002-2006
Costa Rica,2006,1,2006-2010,2006-2010,PUSC,PUSC: PARTIDO UNIDAD SOCIAL CRISTIANA,0.087719298,NA,15,NA,2006-2010
Costa Rica,2006,2,2006-2010,2006-2010,PLN,PLN: PARTIDO LIBERACION NACIONAL,0.438596491,NA,12.5,NA,2006-2010
Costa Rica,2006,3,2006-2010,2006-2010,PAC,PAC: PARTIDO DE ACCION CIUDADANA,0.298245614,NA,6.4,NA,2006-2010
Costa Rica,2006,4,2006-2010,2006-2010,MV,MV: PARTIDO MOVIMIENTO LIBERTARIO,0.105263158,NA,19,NA,2006-2010
Costa Rica,2006,5,2006-2010,2006-2010,RN,RN: PARTIDO RESTAURACION NACIONAL,0.01754386,NA,13,NA,2006-2010
Costa Rica,2006,6,2006-2010,2006-2010,FA,FA: PARTIDO FRENTE AMPLIO,0.01754386,NA,2.8,NA,2006-2010
Costa Rica,2006,7,2006-2010,2006-2010,PASE,PASE: PARTIDO ACCESIBILIDAD SIN EXCLUSION,0.01754386,NA,7.6,NA,2006-2010
Costa Rica,2006,8,2006-2010,2006-2010,PUN,PUN: PARTIDO UNION NACIONAL,0.01754386,NA,13.1,NA,2006-2010
Costa Rica,2010,1,2010-2014,2010-2014,PUSC,PUSC: PARTIDO UNIDAD SOCIAL CRISTIANA,0.1052632,NA,15,NA,2010-2014
Costa Rica,2010,2,2010-2014,2010-2014,PLN,PLN: PARTIDO LIBERACION NACIONAL,0.4210526,NA,12.5,NA,2010-2014
Costa Rica,2010,3,2010-2014,2010-2014,PAC,PAC: PARTIDO DE ACCION CIUDADANA,0.1929825,NA,6.4,NA,2010-2014
Costa Rica,2010,4,2010-2014,2010-2014,MV,MV: PARTIDO MOVIMIENTO LIBERTARIO,0.1578947,NA,19,NA,2010-2014
Costa Rica,2010,5,2010-2014,2010-2014,Other,Otros Partidos,0.122807,NA,NA,NA,2010-2014
Ecuador,1996,1,1996-1998,1996-1998,PSC,PSC: PARTIDO SOCIAL CRISTIANO,0.333333333,NA,18.8,NA,1996-1998
Ecuador,1996,2,1996-1998,1996-1998,DP,DP: DEMOCRACIA POPULAR,0.144927536,NA,5.7,NA,1996-1998
Ecuador,1996,3,1996-1998,1996-1998,PRE,PRE: PARTIDO ROLDOSISTA ECUATORIANO,0.231884058,NA,11.8,NA,1996-1998
Ecuador,1996,4,1996-1998,1996-1998,ID,ID: IZQUIERDA DEMOCRATICA,0.043478261,NA,6.4,NA,1996-1998
Ecuador,1996,5,1996-1998,1996-1998,MUPP-NP,MUPP-NP: MOVIMIENTO UNIFICADO PLURINACIONAL,0.101449275,NA,3.6,NA,1996-1998
Ecuador,1996,6,1996-1998,1996-1998,PCE,PCE: PARTIDO CONSERVADOR ECUATORIANO,0.014492754,NA,16.7,NA,1996-1998
