"PartyCode"	"LR.ideology.prez1"	"market.best"	"LR.ideology.self"	"state.not.solves.problems"	"state.not.in.sanitation"	"state.not.reduce.inequality"	"state.limited.scope"	"economy.best.in.private.sector"	"state.not.in.price.control"	"state.not.in.primsec.edu"	"state.not.in.housing"	"state.not.in.job.creation"	"state.not.in.pensions"	"state.not.in.high.edu"	"state.not.in.unemployment"	"state.not.in.basic.needs"	"privatization.beneficial"	"Year"	"Country"
"Colombia-2006"	"1 2 3 4 5 6 7 8"	"5 6 7 8 9 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9"	NA	"1 3 4 7"	NA	NA	NA	"1 3 4 5 7"	"1 2 3 7"	"1 2 3 4 7"	"1 2 4 7"	"1 2 4 7"	"1 2 4 7"	NA	NA	"1 3 4 6 8 10"	"2006"	"Colombia"
"Colombia-2010"	"1 2 3 4 5 6 7"	"4 5 6 7 8 9 10"	"1 2 3 4 5 6 7 8"	"1 2 3 4 5 6 7 8 10"	NA	NA	"1 2 3 4 5 6"	NA	"1 2 4 6 7 8 10"	NA	NA	NA	"1 2 3 4 5 6 7"	"1 2 3 4 5 6"	"1 2 3 4 5 6 7"	NA	NA	"1 2 3 4 5 6 7 8 9 10"	"2010"	"Colombia"
"Costa Rica-1994"	"1 2 3 4 5"	"3 4 5 6 7 8 9"	NA	"2 3 4 5 6 7 8 9 10"	"1 2 4 5"	NA	NA	NA	NA	"1 2 4 6 7"	"1 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 3 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 3 4 5 6 7 8 10"	"1994"	"Costa Rica"
"Costa Rica-1998"	"1 2 3"	"5 6 7 8 9 10"	"1 3 6 8 10"	"3 4 5 6 7 8"	"1 2"	NA	"1 7"	"1 2"	"1 10"	"1 3 5 7"	"1 3 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 5 6 7 8 10"	"1998"	"Costa Rica"
"Costa Rica-2002"	"1 2 3 4 5"	"2 3 4 5 6 7 8 9"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	NA	"1 3 7"	NA	NA	NA	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 2 3 6 7 8 10"	"2002"	"Costa Rica"
"Costa Rica-2006"	"1 2 3 4 5"	"4 5 6 7 8 9 10"	"1 3 6 8 10"	"2 3 4 5 6 7 8 9 10"	NA	"1 4 7"	NA	NA	NA	"1 3 5 7"	"1 7"	"1 4 7"	"1 3 5 7"	"1 4 7"	"1 3 5 7"	NA	NA	"1 4 7 10"	"2006"	"Costa Rica"
"Costa Rica-2010"	"1 2 3 4 5"	"5 6 7 8 9 10"	"1 2 3 4 5 6 7 8 9 10"	"3 4 5 6 7 8 9 10"	NA	NA	"1 2 3 4 5"	NA	"1 2 4 6 7 8 9 10"	NA	NA	NA	"1 2 3 4 5 6 7"	"1 2 3 4 5 7"	"1 2 3 4 5 6"	NA	NA	"1 2 3 4 5 6 7 8 9 10"	"2010"	"Costa Rica"
"Ecuador-1996"	"1 2 3 5 8"	"1 2 3 4 5 6 7 8 9 10"	NA	"1 2 3 4 5 6 7 8 9 10"	"1 2 4 5"	NA	NA	NA	NA	"1 2 4 6 7"	"1 2 4 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 3 5 6 8 10"	"1996"	"Ecuador"
"Ecuador-1998"	"1 2 3 4 5 7"	"2 4 5 6 7 8 9 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	"1 2"	NA	"1 7"	"1 2"	"1 10"	"1 3 5 7"	"1 4 7"	"1 3 5 7"	"1 3 4 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 6 7 8 9 10"	"1998"	"Ecuador"
"Ecuador-2002"	"1 3 4 5 6 8 9"	"1 2 3 4 5 6 7 8 9 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	NA	"1 3 5 7"	NA	NA	NA	"1 3 4 5 7"	"1 3 7"	"1 3 5 7"	"1 2 3 5 7"	"1 2 3 5 7"	"1 3 4 5 7"	"1 2 3 5 7"	"1 2 3 4 5 7"	"1 6 8 10"	"2002"	"Ecuador"
"Ecuador-2007"	"1 2 3 4 5 6 7 8 9 11 12 13"	"1 2 3 4 5 6 7"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8"	NA	"1 4 7"	NA	NA	NA	"1 3 5 7"	"1 4 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	NA	NA	"1 3 6 8 10"	"2007"	"Ecuador"
"Ecuador-2009"	"1 2 3 4 5 6 7"	"1 2 3 4 5 6 7 8 9"	"1 2 3 4 5 6 7 8 9 10"	"1 2 3 4 5 6 7 8 9"	NA	"1 3 5 7"	NA	NA	NA	"1 3 5 7"	"1 3 7"	"1 3 5 7"	"1 3 7"	"1 3 5 7"	"1 3 5 7"	NA	NA	"1 2 3 4 5 6 7 8 10"	"2009"	"Ecuador"
"El Salvador-1994"	"1 2 3 4"	"3 5 6 7 8 9 10"	NA	"1 2 3 4 5 6 7 8 9 10"	"1 2 4 5"	NA	NA	NA	NA	"1 2 4 6 7"	"1 4 7"	"1 2 3 4 6 7"	"1 2 4 6 7"	"1 3 5 7"	"1 3 5 7"	"1 2 4 5 6 7"	"1 2 4 6 7"	"1 5 6 10"	"1994"	"El Salvador"
"El Salvador-1997"	"1 2 3 4 5"	"6 7 8 9 10"	"3 6 7 8 10"	"1 2 3 4 5 6 7 8 9 10"	"1 2"	NA	"1 7"	"1 2"	"1 3 6 10"	"1 3 5 7"	"1 7"	"1 3 5 7"	"1 3 4 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 4 5 7"	"1 3 5 7"	"1 3 5 6 7 8 10"	"1997"	"El Salvador"
"El Salvador-2000"	"1 2 3 5"	"5 6 7 8 9 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9"	"1 2"	NA	"1 6 7"	"1 2"	"1 10"	"1 3 5 7"	"1 7"	"1 3 5 7"	"1 3 5 7"	"1 4 7"	"1 3 5 7"	"1 3 4 5 7"	"1 3 5 7"	"1 2 6 7 8 10"	"2000"	"El Salvador"
"El Salvador-2003"	"1 2 3 4 5"	"3 5 6 7 8 9 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	NA	"1 4 7"	NA	NA	NA	"1 3 5 7"	"1 7"	"1 3 5 7"	"1 3 5 7"	"1 4 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 6 8 10"	"2003"	"El Salvador"
"El Salvador-2009"	"1 2 3 4 5"	"1 2 3 4 5 6"	"1 2 3 4 5 6 7 8 9 10"	"1 2 3 4 5 6 7 8 9 10"	NA	"1 7"	NA	NA	NA	"1 3 5 7"	"1 4 7"	"1 3 4 7"	"1 4 7"	"1 4 7"	"1 4 7"	NA	NA	"1 2 3 4 5 6 7 8 9"	"2009"	"El Salvador"
"Guatemala-1995"	"1 2 3"	"3 4 5 6 7 8 9 10"	"3 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	"1 2"	NA	"1 7"	"1 2"	"1 10"	"1 3 5 7"	"1 3 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 5 6 8 10"	"1995"	"Guatemala"
"Guatemala-2000"	"1 2 3 7 8 33"	"1 2 3 4 5 6 7 8 9 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9"	NA	"1 3 5 7"	NA	NA	NA	"1 3 5 7"	"1 7"	"1 4 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 2 3 5 7"	"1 3 6 7 8 10"	"2000"	"Guatemala"
"Guatemala-2004"	"1 2 3 4 5 6 15 16 17"	"3 4 5 6 7 8 9 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	NA	"1 4 7"	NA	NA	NA	"1 3 5 7"	"1 2 4 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 4 5 7"	"1 5 6 8 10"	"2004"	"Guatemala"
"Guatemala-2008"	"1 2 3 4 5 6 7 8"	"1 2 3 4 5 6 7 8 9 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	NA	"1 4 7"	NA	NA	NA	"1 3 5 7"	"1 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	NA	NA	"1 3 6 8 10"	"2008"	"Guatemala"
"Guatemala-2012"	"1 2 3 4 5 6 8"	"5 6 7 8 9 10"	"1 2 3 4 5 6 7 8 9 10"	"2 3 4 5 6 7 8 9 10"	NA	NA	"1 2 3 4 5 6 7"	NA	"1 2 4 5 6 7 8 10"	NA	NA	NA	"1 2 3 4 5 6 7"	"1 2 3 4 5 6 7"	"1 2 3 4 5 6 7"	NA	NA	NA	"2012"	"Guatemala"
"Honduras-1994"	"1 2 3"	"5 6 7 8 9 10"	NA	"2 3 4 5 6 7 8 10"	"1 3 5"	NA	NA	NA	NA	"1 2 3 4 6 7"	"1 2 4 5 6 7"	"1 2 3 4 6 7"	"1 2 3 4 6 7"	"1 3 5 7"	"1 2 4 6 7"	"1 2 3 4 6 7"	"1 2 4 6 7"	"1 4 6 7 10"	"1994"	"Honduras"
"Honduras-1997"	"1 2 3 4"	"2 4 5 6 7 8 9 10"	"1 3 6 8 10"	"2 3 4 5 6 7 8 9 10"	"1 2"	NA	"1 5 7"	"1 2"	"1 10"	"1 3 5 7"	"1 7"	"1 3 5 7"	"1 3 5 7"	"1 4 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 6 8 10"	"1997"	"Honduras"
"Honduras-2002"	"1 2 5 6"	"4 5 6 7 8 9 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	NA	"1 7"	NA	NA	NA	"1 3 5 7"	"1 4 7"	"1 4 7"	"1 3 5 7"	"1 4 7"	"1 3 5 7"	"1 4 7"	"1 3 5 7"	"1 6 8 10"	"2002"	"Honduras"
"Honduras-2006"	"1 2 3 4"	"1 2 3 4 5 6 7 8 9 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	NA	"1 4 7"	NA	NA	NA	"1 3 5 7"	"1 4 7"	"1 3 5 7"	"1 3 5 7"	"1 4 7"	"1 3 5 7"	NA	NA	"1 3 6 8 10"	"2006"	"Honduras"
"Honduras-2010"	"1 2 4 5"	"2 3 4 5 6 7 8 9 10"	"1 2 3 4 5 6 7 8 9 10"	"2 3 4 5 6 7 8 9 10"	NA	NA	"1 2 3 4 5 6"	NA	"1 3 5 6 8 10"	NA	NA	NA	"1 2 3 4 5 6 7"	"1 2 3 4 5 6 7"	"1 2 3 4 5 6"	NA	NA	"1 2 3 4 5 6 7 8 9 10"	"2010"	"Honduras"
"Mexico-1994"	"1 10 11 16"	"2 4 5 6 7 8 9 10"	NA	"1 2 3 4 5 6 7 8 9"	"1 2 4 5"	NA	NA	NA	NA	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 5 6 7"	"1 3 4 5 6 7 8 10"	"1994"	"Mexico"
"Mexico-1997"	"1 10 11 16 17"	"3 4 5 6 7 8 9 10"	NA	"1 2 3 4 5 6 7 8 9 10"	"1 2"	NA	"1 2 5 6 7"	"1 2"	"1 5 10"	"1 3 5 7"	"1 3 7"	"1 3 5 7"	"1 3 4 5 7"	"1 3 5 7"	"1 3 5 7"	"1 2 3 5 6 7"	"1 3 5 7"	"1 3 5 6 8 10"	"1997"	"Mexico"
"Mexico-2000"	"1 2 3 8"	"4 5 6 7 8 9 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9"	"1 2"	NA	"1 2 7"	"1 2"	"1 3 5 10"	"1 3 5 7"	"1 4 7"	"1 2 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 2 3 4 5 7"	"1 3 4 5 6 7"	"1 3 5 6 8 10"	"2000"	"Mexico"
"Mexico-2003"	"1 2 3 4"	"2 3 4 5 6 7 8 9 10"	"1 3 4 5 6 7 8 10"	"1 2 3 4 5 6 7 8 9 10"	NA	"1 2 3 4 7"	NA	NA	NA	"1 2 3 4 5 7"	"1 2 4 7"	"1 3 5 7"	"1 2 4 7"	"1 2 3 4 7"	"1 2 4 5 7"	"1 2 3 5 7"	"1 2 3 5 7"	"1 3 4 5 6 7 8 10"	"2003"	"Mexico"
"Mexico-2006"	"1 2 3 4"	"2 4 5 6 7 8 9 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	NA	"1 2 3 5 7"	NA	NA	NA	"1 3 4 5 7"	"1 3 5 7"	"1 3 4 5 7"	"1 2 3 5 7"	"1 2 3 5 7"	"1 3 5 7"	NA	NA	"1 3 6 7 8 10"	"2006"	"Mexico"
"Mexico-2009"	"1 2 3 4 5 6 7"	"1 4 5 6 7 8 9 10"	"1 3 4 5 6 7 8 9 10"	"1 2 3 4 5 6 7 8 9 10"	NA	NA	"1 2 3 4 5 6"	NA	"1 2 4 6 7 8 10"	NA	NA	NA	"1 2 3 4 5 6 7"	"1 2 3 4 5 6 7"	"1 2 3 4 5"	NA	NA	"1 2 3 4 5 6 7 8 9 10"	"2009"	"Mexico"
"Nicaragua-1996"	"1 2 3 4 5 6 8"	"4 5 6 7 8 9 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	"1 2"	NA	"1 7"	"1 2"	"1 10"	"1 3 5 7"	"1 7"	"1 3 5 7"	"1 3 5 6 7"	"1 4 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 6 7 8 10"	"1996"	"Nicaragua"
"Nicaragua-2002"	"1 2 3"	"1 3 4 5 6 7 8 9 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	NA	"1 4 7"	NA	NA	NA	"1 3 5 7"	"1 4 7"	"1 3 5 7"	"1 3 5 7"	"1 4 7"	"1 3 5 7"	"1 3 4 5 7"	"1 3 5 7"	"1 7 8 10"	"2002"	"Nicaragua"
"Nicaragua-2007"	"1 2 3 4 5"	"1 2 3 4 5 6"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	NA	"1 4 7"	NA	NA	NA	"1 3 5 7"	"1 7"	"1 3 5 7"	"1 3 5 7"	"1 4 7"	"1 3 5 7"	NA	NA	"1 3 6 8 10"	"2007"	"Nicaragua"
"Panama-1999"	"1 2 3"	"2 4 5 6 7 8 9 10"	"1 3 6 8 10"	"1 3 4 5 6 7 8 9 10"	NA	"1 4 7"	NA	NA	NA	"1 3 5 7"	"1 7"	"1 3 5 7"	"1 3 5 7"	"1 4 7"	"1 3 5 7"	"1 3 5 6 7"	"1 3 5 7"	"1 4 7 9 10"	"1999"	"Panama"
"Panama-2004"	"1 2 3 4"	"1 3 4 5 6 7 8 9 10"	"1 3 6 8 10"	"2 3 4 5 6 7 8 9 10"	NA	"1 7"	NA	NA	NA	"1 3 5 7"	"1 7"	"1 3 5 7"	"1 3 5 7"	"1 7"	"1 4 7"	"1 3 5 7"	"1 4 7"	"1 7 10"	"2004"	"Panama"
"Panama-2009"	"1 2 3 4 5"	"1 5 6 7 8 9 10"	"1 2 3 4 5 6 7 8 9 10"	"1 2 4 5 6 7 8 9 10"	NA	"1 7"	NA	NA	NA	"1 3 5 7"	"1 7"	"1 3 5 7"	"1 4 7"	"1 4 7"	"1 4 7"	NA	NA	"1 2 3 4 5 6 7 8 9"	"2009"	"Panama"
"Paraguay-1993"	"1 2 3"	"5 6 7 8 9 10"	NA	"2 3 4 5 6 7 8"	"1 2 4 5"	NA	NA	NA	NA	"1 2 3 4 6 7"	"1 4 7"	"1 3 5 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 3 4 6 7"	"1 2 4 6 7"	"1 3 6 8 10"	"1993"	"Paraguay"
"Paraguay-1998"	"1 2 3"	"1 3 4 5 6 7 8 9 10"	"1 3 6 8 10"	"2 3 4 5 6 7 8 9"	"1 2"	NA	"1 7"	"1 2"	"1 8 10"	"1 3 5 7"	"1 7"	"1 4 7"	"1 2 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 4 5 7"	"1 3 5 7"	"1 6 8 9 10"	"1998"	"Paraguay"
"Paraguay-2003"	"1 2 3 4 5"	"3 4 5 6 7 8 9 10"	"1 3 6 8 10"	"3 4 5 6 7 8 9"	NA	"1 4 7"	NA	NA	NA	"1 3 5 7"	"1 7"	"1 3 5 7"	"1 4 7"	"1 4 7"	"1 4 7"	"1 3 5 7"	"1 4 7"	"1 6 7 8 10"	"2003"	"Paraguay"
"Paraguay-2008"	"1 2 3 4"	"1 2 3 4 5 6 8"	"3 6 8 10"	"3 4 5 6 7 8 9"	NA	"1 3 7"	NA	NA	NA	"1 3 5 7"	"1 7"	"1 3 5 7"	"1 4 7"	"1 4 7"	"1 3 5 7"	NA	NA	"1 3 6 8 10"	"2008"	"Paraguay"
"Peru-1995"	"2 4 5 32"	"2 4 5 6 7 8 9 10"	NA	"1 3 4 5 6 7 8 9 10"	"1 2 4 5"	NA	NA	NA	NA	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 3 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 3 6 7 8 10"	"1995"	"Peru"
"Peru-2001"	"1 2 7 8 11 14"	"2 3 4 5 6 7 8 9 10"	"3 5 6 8 10"	"1 2 3 4 5 6 7 8"	"1 2"	NA	"1 5 7"	"1 2"	"1 6 8 10"	"1 3 5 7"	"1 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 4 5 7"	"1 3 5 7"	"1 3 6 7 8 10"	"2001"	"Peru"
"Peru-2006"	"1 2 3 4 5 6 7 8"	"3 4 5 6 7 8 9 10"	"1 2 3 4 5 6 7 8 9 10"	"1 2 3 4 5 6 7 8 9 10"	NA	"1 2 3 4 5 7"	"1 2 3 4 5 6 7"	NA	"1 2 3 4 5 6 7 8 9 10"	"1 2 3 4 5 6 7"	"1 2 3 5 6 7"	"1 2 3 4 5 6 7"	"1 2 3 4 5 6 7"	"1 2 3 4 5 6 7"	"1 2 3 4 5 6 7"	NA	NA	"1 2 3 4 5 6 7 8 9 10"	"2006"	"Peru"
"Republica Dominicana-1994"	"1 2 3"	"3 4 5 6 7 8 9 10"	NA	"2 3 4 5 6 7 8 9 10"	"1 2 4 5"	NA	NA	NA	NA	"1 2 4 6 7"	"1 2 4 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 3 4 7 10"	"1994"	"Republica Dominicana"
